P -2584.50, 2524.17, 0.0000, 70, 110, 140, 3, N
P -2584.50, 2865.39, 0.0000, 90, 120, 140, 1, S
P -2413.89, 2694.78, 0.0000, 90, 120, 140, 1, E
P -2755.11, 2694.78, 0.0000, 90, 120, 140, 1, W
L -2320.00, -2258.53, 0.0000, -2320.00, 2436.28, 0.0000, 170, 190, 205
L -1740.00, -2258.53, 0.0000, -1740.00, 2436.28, 0.0000, 170, 190, 205
L -1160.00, -2258.53, 0.0000, -1160.00, 2436.28, 0.0000, 170, 190, 205
L -580.00, -2258.53, 0.0000, -580.00, 2436.28, 0.0000, 170, 190, 205
L 0.00, -2258.53, 0.0000, 0.00, 2436.28, 0.0000, 170, 190, 205
L 580.00, -2258.53, 0.0000, 580.00, 2436.28, 0.0000, 170, 190, 205
L 1160.00, -2258.53, 0.0000, 1160.00, 2436.28, 0.0000, 170, 190, 205
L 1740.00, -2258.53, 0.0000, 1740.00, 2436.28, 0.0000, 170, 190, 205
L 2320.00, -2258.53, 0.0000, 2320.00, 2436.28, 0.0000, 170, 190, 205
L -2326.00, 2320.00, 0.0000, 2368.84, 2320.00, 0.0000, 170, 190, 205
L -2326.00, -2258.53, 0.0000, -2326.00, 2436.28, 0.0000, 170, 190, 205
L 2368.84, -2258.53, 0.0000, 2368.84, 2436.28, 0.0000, 170, 190, 205
L -3077.00, -3009.53, 0.0000, -2795.33, -2973.45, 0.0000, 90, 120, 140
L -2795.33, -2973.45, 0.0000, -2513.65, -3009.53, 0.0000, 90, 120, 140
L -2513.65, -3009.53, 0.0000, -2231.98, -2944.40, 0.0000, 90, 120, 140
L -2231.98, -2944.40, 0.0000, -1950.30, -3009.53, 0.0000, 90, 120, 140
L -1950.30, -3009.53, 0.0000, -1668.63, -2961.99, 0.0000, 90, 120, 140
L -1668.63, -2961.99, 0.0000, -1386.95, -3009.53, 0.0000, 90, 120, 140
L 1429.79, -3009.53, 0.0000, 1711.47, -2970.37, 0.0000, 90, 120, 140
L 1711.47, -2970.37, 0.0000, 1993.14, -3009.53, 0.0000, 90, 120, 140
L 1993.14, -3009.53, 0.0000, 2274.82, -2938.64, 0.0000, 90, 120, 140
L 2274.82, -2938.64, 0.0000, 2556.49, -3009.53, 0.0000, 90, 120, 140
L 2556.49, -3009.53, 0.0000, 2838.17, -2938.65, 0.0000, 90, 120, 140
L 2838.17, -2938.65, 0.0000, 3119.84, -3009.53, 0.0000, 90, 120, 140
L 3119.84, -3009.53, 0.0000, 3045.30, -2727.86, 0.0000, 90, 120, 140
L 3045.30, -2727.86, 0.0000, 3119.84, -2446.18, 0.0000, 90, 120, 140
L 3119.84, -2446.18, 0.0000, 3061.64, -2164.51, 0.0000, 90, 120, 140
L 3061.64, -2164.51, 0.0000, 3119.84, -1882.84, 0.0000, 90, 120, 140
L 3119.84, -1882.84, 0.0000, 3067.92, -1601.16, 0.0000, 90, 120, 140
L 3067.92, -1601.16, 0.0000, 3119.84, -1319.49, 0.0000, 90, 120, 140
L 3119.84, -1319.49, 0.0000, 3058.68, -1037.82, 0.0000, 90, 120, 140
L 3058.68, -1037.82, 0.0000, 3119.84, -756.14, 0.0000, 90, 120, 140
L 3119.84, -756.14, 0.0000, 3031.71, -474.47, 0.0000, 90, 120, 140
L 3031.71, -474.47, 0.0000, 3119.84, -192.80, 0.0000, 90, 120, 140
L 3119.84, -192.80, 0.0000, 3067.96, 88.88, 0.0000, 90, 120, 140
L 3067.96, 88.88, 0.0000, 3119.84, 370.55, 0.0000, 90, 120, 140
L 3119.84, 370.55, 0.0000, 3029.77, 652.22, 0.0000, 90, 120, 140
L 3029.77, 652.22, 0.0000, 3119.84, 933.89, 0.0000, 90, 120, 140
L 3119.84, 933.89, 0.0000, 3072.36, 1215.57, 0.0000, 90, 120, 140
L 3072.36, 1215.57, 0.0000, 3119.84, 1497.24, 0.0000, 90, 120, 140
L 3119.84, 1497.24, 0.0000, 3056.55, 1778.91, 0.0000, 90, 120, 140
L 3056.55, 1778.91, 0.0000, 3119.84, 2060.59, 0.0000, 90, 120, 140
L 3119.84, 2060.59, 0.0000, 3070.78, 2342.26, 0.0000, 90, 120, 140
L 3070.78, 2342.26, 0.0000, 3119.84, 2623.93, 0.0000, 90, 120, 140
L 3119.84, 2623.93, 0.0000, 3073.16, 2905.61, 0.0000, 90, 120, 140
L 3073.16, 2905.61, 0.0000, 3119.84, 3187.28, 0.0000, 90, 120, 140
L 3119.84, 3187.28, 0.0000, 2838.17, 3095.65, 0.0000, 90, 120, 140
L 2838.17, 3095.65, 0.0000, 2556.49, 3187.28, 0.0000, 90, 120, 140
L 2556.49, 3187.28, 0.0000, 2274.82, 3110.53, 0.0000, 90, 120, 140
L 2274.82, 3110.53, 0.0000, 1993.14, 3187.28, 0.0000, 90, 120, 140
L 1993.14, 3187.28, 0.0000, 1711.47, 3152.57, 0.0000, 90, 120, 140
L 1711.47, 3152.57, 0.0000, 1429.79, 3187.28, 0.0000, 90, 120, 140
L 1429.79, 3187.28, 0.0000, 1148.12, 3124.75, 0.0000, 90, 120, 140
L 1148.12, 3124.75, 0.0000, 866.44, 3187.28, 0.0000, 90, 120, 140
L 866.44, 3187.28, 0.0000, 584.77, 3140.34, 0.0000, 90, 120, 140
L 584.77, 3140.34, 0.0000, 303.09, 3187.28, 0.0000, 90, 120, 140
L 303.09, 3187.28, 0.0000, 21.42, 3114.83, 0.0000, 90, 120, 140
L 21.42, 3114.83, 0.0000, -260.25, 3187.28, 0.0000, 90, 120, 140
L -260.25, 3187.28, 0.0000, -541.93, 3112.38, 0.0000, 90, 120, 140
L -541.93, 3112.38, 0.0000, -823.60, 3187.28, 0.0000, 90, 120, 140
L -823.60, 3187.28, 0.0000, -1105.28, 3097.61, 0.0000, 90, 120, 140
L -1105.28, 3097.61, 0.0000, -1386.95, 3187.28, 0.0000, 90, 120, 140
L -1386.95, 3187.28, 0.0000, -1668.63, 3116.48, 0.0000, 90, 120, 140
L -1668.63, 3116.48, 0.0000, -1950.30, 3187.28, 0.0000, 90, 120, 140
L -1950.30, 3187.28, 0.0000, -2231.98, 3138.72, 0.0000, 90, 120, 140
L -2231.98, 3138.72, 0.0000, -2513.65, 3187.28, 0.0000, 90, 120, 140
L -2513.65, 3187.28, 0.0000, -2795.33, 3141.40, 0.0000, 90, 120, 140
L -2795.33, 3141.40, 0.0000, -3077.00, 3187.28, 0.0000, 90, 120, 140
L -3077.00, 3187.28, 0.0000, -3011.11, 2905.61, 0.0000, 90, 120, 140
L -3011.11, 2905.61, 0.0000, -3077.00, 2623.93, 0.0000, 90, 120, 140
L -3077.00, 2623.93, 0.0000, -3027.83, 2342.26, 0.0000, 90, 120, 140
L -3027.83, 2342.26, 0.0000, -3077.00, 2060.59, 0.0000, 90, 120, 140
L -3077.00, 2060.59, 0.0000, -3031.12, 1778.91, 0.0000, 90, 120, 140
L -3031.12, 1778.91, 0.0000, -3077.00, 1497.24, 0.0000, 90, 120, 140
L -3077.00, 1497.24, 0.0000, -3012.56, 1215.57, 0.0000, 90, 120, 140
L -3012.56, 1215.57, 0.0000, -3077.00, 933.89, 0.0000, 90, 120, 140
L -3077.00, 933.89, 0.0000, -3025.83, 652.22, 0.0000, 90, 120, 140
L -3025.83, 652.22, 0.0000, -3077.00, 370.55, 0.0000, 90, 120, 140
L -3077.00, 370.55, 0.0000, -3021.64, 88.88, 0.0000, 90, 120, 140
L -3021.64, 88.88, 0.0000, -3077.00, -192.80, 0.0000, 90, 120, 140
L -3077.00, -192.80, 0.0000, -3012.92, -474.47, 0.0000, 90, 120, 140
L -3012.92, -474.47, 0.0000, -3077.00, -756.14, 0.0000, 90, 120, 140
L -3077.00, -756.14, 0.0000, -3011.87, -1037.82, 0.0000, 90, 120, 140
L -3011.87, -1037.82, 0.0000, -3077.00, -1319.49, 0.0000, 90, 120, 140
L -3077.00, -1319.49, 0.0000, -3016.47, -1601.16, 0.0000, 90, 120, 140
L -3016.47, -1601.16, 0.0000, -3077.00, -1882.84, 0.0000, 90, 120, 140
L -3077.00, -1882.84, 0.0000, -3042.54, -2164.51, 0.0000, 90, 120, 140
L -3042.54, -2164.51, 0.0000, -3077.00, -2446.18, 0.0000, 90, 120, 140
L -3077.00, -2446.18, 0.0000, -3005.52, -2727.86, 0.0000, 90, 120, 140
L -3005.52, -2727.86, 0.0000, -3077.00, -3009.53, 0.0000, 90, 120, 140
L -2079.15, -2775.53, 0.0000, -1697.23, -2756.00, 0.0000, 150, 200, 220
L -1697.23, -2756.00, 0.0000, -1315.31, -2775.53, 0.0000, 150, 200, 220
L 2840.89, -1629.77, 0.0000, 2885.84, -1247.85, 0.0000, 150, 200, 220
L 2885.84, -1247.85, 0.0000, 2853.41, -865.93, 0.0000, 150, 200, 220
