P 436.3200, 244.8000, 0.0000, 74, 50, 30, 3, N
P 436.3200, 424.0000, 0.0000, 74, 50, 30, 1, S
P 525.9200, 334.4000, 0.0000, 74, 50, 30, 1, E
P 346.7200, 334.4000, 0.0000, 74, 50, 30, 1, W
L -450.00, -349.00, 0.0000, -450.00, 254.00, 0.0000, 176, 166, 146
L -300.00, -349.00, 0.0000, -300.00, 254.00, 0.0000, 176, 166, 146
L -150.00, -349.00, 0.0000, -150.00, 254.00, 0.0000, 176, 166, 146
L 0.00, -349.00, 0.0000, 0.00, 254.00, 0.0000, 176, 166, 146
L 150.00, -349.00, 0.0000, 150.00, 254.00, 0.0000, 176, 166, 146
L 300.00, -349.00, 0.0000, 300.00, 254.00, 0.0000, 176, 166, 146
L -489.00, -300.00, 0.0000, 397.00, -300.00, 0.0000, 176, 166, 146
L -489.00, -150.00, 0.0000, 397.00, -150.00, 0.0000, 176, 166, 146
L -489.00, 0.00, 0.0000, 397.00, 0.00, 0.0000, 176, 166, 146
L -489.00, 150.00, 0.0000, 397.00, 150.00, 0.0000, 176, 166, 146
L -724.00, -584.00, 0.0000, -692.32, -540.00, 0.0000, 150, 112, 74
L -724.00, 445.00, 0.0000, -692.32, 489.00, 0.0000, 150, 112, 74
L -712.00, -584.00, 0.0000, -680.32, -540.00, 0.0000, 150, 112, 74
L -712.00, 445.00, 0.0000, -680.32, 489.00, 0.0000, 150, 112, 74
L -700.00, -584.00, 0.0000, -668.32, -540.00, 0.0000, 150, 112, 74
L -700.00, 445.00, 0.0000, -668.32, 489.00, 0.0000, 150, 112, 74
L -688.00, -584.00, 0.0000, -656.32, -540.00, 0.0000, 150, 112, 74
L -688.00, 445.00, 0.0000, -656.32, 489.00, 0.0000, 150, 112, 74
L -676.00, -584.00, 0.0000, -644.32, -540.00, 0.0000, 150, 112, 74
L -676.00, 445.00, 0.0000, -644.32, 489.00, 0.0000, 150, 112, 74
L -664.00, -584.00, 0.0000, -632.32, -540.00, 0.0000, 150, 112, 74
L -664.00, 445.00, 0.0000, -632.32, 489.00, 0.0000, 150, 112, 74
L -652.00, -584.00, 0.0000, -620.32, -540.00, 0.0000, 150, 112, 74
L -652.00, 445.00, 0.0000, -620.32, 489.00, 0.0000, 150, 112, 74
L -640.00, -584.00, 0.0000, -608.32, -540.00, 0.0000, 150, 112, 74
L -640.00, 445.00, 0.0000, -608.32, 489.00, 0.0000, 150, 112, 74
L -628.00, -584.00, 0.0000, -596.32, -540.00, 0.0000, 150, 112, 74
L -628.00, 445.00, 0.0000, -596.32, 489.00, 0.0000, 150, 112, 74
L -616.00, -584.00, 0.0000, -584.32, -540.00, 0.0000, 150, 112, 74
L -616.00, 445.00, 0.0000, -584.32, 489.00, 0.0000, 150, 112, 74
L -604.00, -584.00, 0.0000, -572.32, -540.00, 0.0000, 150, 112, 74
L -604.00, 445.00, 0.0000, -572.32, 489.00, 0.0000, 150, 112, 74
L -592.00, -584.00, 0.0000, -560.32, -540.00, 0.0000, 150, 112, 74
L -592.00, 445.00, 0.0000, -560.32, 489.00, 0.0000, 150, 112, 74
L -580.00, -584.00, 0.0000, -548.32, -540.00, 0.0000, 150, 112, 74
L -580.00, 445.00, 0.0000, -548.32, 489.00, 0.0000, 150, 112, 74
L -568.00, -584.00, 0.0000, -536.32, -540.00, 0.0000, 150, 112, 74
L -568.00, 445.00, 0.0000, -536.32, 489.00, 0.0000, 150, 112, 74
L -556.00, -584.00, 0.0000, -524.32, -540.00, 0.0000, 150, 112, 74
L -556.00, 445.00, 0.0000, -524.32, 489.00, 0.0000, 150, 112, 74
L -544.00, -584.00, 0.0000, -512.32, -540.00, 0.0000, 150, 112, 74
L -544.00, 445.00, 0.0000, -512.32, 489.00, 0.0000, 150, 112, 74
L -532.00, -584.00, 0.0000, -500.32, -540.00, 0.0000, 150, 112, 74
L -532.00, 445.00, 0.0000, -500.32, 489.00, 0.0000, 150, 112, 74
L -520.00, -584.00, 0.0000, -488.32, -540.00, 0.0000, 150, 112, 74
L -520.00, 445.00, 0.0000, -488.32, 489.00, 0.0000, 150, 112, 74
L -508.00, -584.00, 0.0000, -476.32, -540.00, 0.0000, 150, 112, 74
L -508.00, 445.00, 0.0000, -476.32, 489.00, 0.0000, 150, 112, 74
L -496.00, -584.00, 0.0000, -464.32, -540.00, 0.0000, 150, 112, 74
L -496.00, 445.00, 0.0000, -464.32, 489.00, 0.0000, 150, 112, 74
L -484.00, -584.00, 0.0000, -452.32, -540.00, 0.0000, 150, 112, 74
L -484.00, 445.00, 0.0000, -452.32, 489.00, 0.0000, 150, 112, 74
L -472.00, -584.00, 0.0000, -440.32, -540.00, 0.0000, 150, 112, 74
L -472.00, 445.00, 0.0000, -440.32, 489.00, 0.0000, 150, 112, 74
L -460.00, -584.00, 0.0000, -428.32, -540.00, 0.0000, 150, 112, 74
L -460.00, 445.00, 0.0000, -428.32, 489.00, 0.0000, 150, 112, 74
L -448.00, -584.00, 0.0000, -416.32, -540.00, 0.0000, 150, 112, 74
L -448.00, 445.00, 0.0000, -416.32, 489.00, 0.0000, 150, 112, 74
L -436.00, -584.00, 0.0000, -404.32, -540.00, 0.0000, 150, 112, 74
L -436.00, 445.00, 0.0000, -404.32, 489.00, 0.0000, 150, 112, 74
L -424.00, -584.00, 0.0000, -392.32, -540.00, 0.0000, 150, 112, 74
L -424.00, 445.00, 0.0000, -392.32, 489.00, 0.0000, 150, 112, 74
L -412.00, -584.00, 0.0000, -380.32, -540.00, 0.0000, 150, 112, 74
L -412.00, 445.00, 0.0000, -380.32, 489.00, 0.0000, 150, 112, 74
L -400.00, -584.00, 0.0000, -368.32, -540.00, 0.0000, 150, 112, 74
L -400.00, 445.00, 0.0000, -368.32, 489.00, 0.0000, 150, 112, 74
L -388.00, -584.00, 0.0000, -356.32, -540.00, 0.0000, 150, 112, 74
L -388.00, 445.00, 0.0000, -356.32, 489.00, 0.0000, 150, 112, 74
L -376.00, -584.00, 0.0000, -344.32, -540.00, 0.0000, 150, 112, 74
L -376.00, 445.00, 0.0000, -344.32, 489.00, 0.0000, 150, 112, 74
L -364.00, -584.00, 0.0000, -332.32, -540.00, 0.0000, 150, 112, 74
L -364.00, 445.00, 0.0000, -332.32, 489.00, 0.0000, 150, 112, 74
L -352.00, -584.00, 0.0000, -320.32, -540.00, 0.0000, 150, 112, 74
L -352.00, 445.00, 0.0000, -320.32, 489.00, 0.0000, 150, 112, 74
L -340.00, -584.00, 0.0000, -308.32, -540.00, 0.0000, 150, 112, 74
L -340.00, 445.00, 0.0000, -308.32, 489.00, 0.0000, 150, 112, 74
L -328.00, -584.00, 0.0000, -296.32, -540.00, 0.0000, 150, 112, 74
L -328.00, 445.00, 0.0000, -296.32, 489.00, 0.0000, 150, 112, 74
L -316.00, -584.00, 0.0000, -284.32, -540.00, 0.0000, 150, 112, 74
L -316.00, 445.00, 0.0000, -284.32, 489.00, 0.0000, 150, 112, 74
L -304.00, -584.00, 0.0000, -272.32, -540.00, 0.0000, 150, 112, 74
L -304.00, 445.00, 0.0000, -272.32, 489.00, 0.0000, 150, 112, 74
L -292.00, -584.00, 0.0000, -260.32, -540.00, 0.0000, 150, 112, 74
L -292.00, 445.00, 0.0000, -260.32, 489.00, 0.0000, 150, 112, 74
L -280.00, -584.00, 0.0000, -248.32, -540.00, 0.0000, 150, 112, 74
L -280.00, 445.00, 0.0000, -248.32, 489.00, 0.0000, 150, 112, 74
L -268.00, -584.00, 0.0000, -236.32, -540.00, 0.0000, 150, 112, 74
L -268.00, 445.00, 0.0000, -236.32, 489.00, 0.0000, 150, 112, 74
L -256.00, -584.00, 0.0000, -224.32, -540.00, 0.0000, 150, 112, 74
L -256.00, 445.00, 0.0000, -224.32, 489.00, 0.0000, 150, 112, 74
L -244.00, -584.00, 0.0000, -212.32, -540.00, 0.0000, 150, 112, 74
L -244.00, 445.00, 0.0000, -212.32, 489.00, 0.0000, 150, 112, 74
L -232.00, -584.00, 0.0000, -200.32, -540.00, 0.0000, 150, 112, 74
L -232.00, 445.00, 0.0000, -200.32, 489.00, 0.0000, 150, 112, 74
L -220.00, -584.00, 0.0000, -188.32, -540.00, 0.0000, 150, 112, 74
L -220.00, 445.00, 0.0000, -188.32, 489.00, 0.0000, 150, 112, 74
L -208.00, -584.00, 0.0000, -176.32, -540.00, 0.0000, 150, 112, 74
L -208.00, 445.00, 0.0000, -176.32, 489.00, 0.0000, 150, 112, 74
L -196.00, -584.00, 0.0000, -164.32, -540.00, 0.0000, 150, 112, 74
L -196.00, 445.00, 0.0000, -164.32, 489.00, 0.0000, 150, 112, 74
L -184.00, -584.00, 0.0000, -152.32, -540.00, 0.0000, 150, 112, 74
L -184.00, 445.00, 0.0000, -152.32, 489.00, 0.0000, 150, 112, 74
L -172.00, -584.00, 0.0000, -140.32, -540.00, 0.0000, 150, 112, 74
L -172.00, 445.00, 0.0000, -140.32, 489.00, 0.0000, 150, 112, 74
L -160.00, -584.00, 0.0000, -128.32, -540.00, 0.0000, 150, 112, 74
L -160.00, 445.00, 0.0000, -128.32, 489.00, 0.0000, 150, 112, 74
L -148.00, -584.00, 0.0000, -116.32, -540.00, 0.0000, 150, 112, 74
L -148.00, 445.00, 0.0000, -116.32, 489.00, 0.0000, 150, 112, 74
L -136.00, -584.00, 0.0000, -104.32, -540.00, 0.0000, 150, 112, 74
L -136.00, 445.00, 0.0000, -104.32, 489.00, 0.0000, 150, 112, 74
L -124.00, -584.00, 0.0000, -92.32, -540.00, 0.0000, 150, 112, 74
L -124.00, 445.00, 0.0000, -92.32, 489.00, 0.0000, 150, 112, 74
L -112.00, -584.00, 0.0000, -80.32, -540.00, 0.0000, 150, 112, 74
L -112.00, 445.00, 0.0000, -80.32, 489.00, 0.0000, 150, 112, 74
L -100.00, -584.00, 0.0000, -68.32, -540.00, 0.0000, 150, 112, 74
L -100.00, 445.00, 0.0000, -68.32, 489.00, 0.0000, 150, 112, 74
L -88.00, -584.00, 0.0000, -56.32, -540.00, 0.0000, 150, 112, 74
L -88.00, 445.00, 0.0000, -56.32, 489.00, 0.0000, 150, 112, 74
L -76.00, -584.00, 0.0000, -44.32, -540.00, 0.0000, 150, 112, 74
L -76.00, 445.00, 0.0000, -44.32, 489.00, 0.0000, 150, 112, 74
L -64.00, -584.00, 0.0000, -32.32, -540.00, 0.0000, 150, 112, 74
L -64.00, 445.00, 0.0000, -32.32, 489.00, 0.0000, 150, 112, 74
L -52.00, -584.00, 0.0000, -20.32, -540.00, 0.0000, 150, 112, 74
L -52.00, 445.00, 0.0000, -20.32, 489.00, 0.0000, 150, 112, 74
L -40.00, -584.00, 0.0000, -8.32, -540.00, 0.0000, 150, 112, 74
L -40.00, 445.00, 0.0000, -8.32, 489.00, 0.0000, 150, 112, 74
L -28.00, -584.00, 0.0000, 3.68, -540.00, 0.0000, 150, 112, 74
L -28.00, 445.00, 0.0000, 3.68, 489.00, 0.0000, 150, 112, 74
L -16.00, -584.00, 0.0000, 15.68, -540.00, 0.0000, 150, 112, 74
L -16.00, 445.00, 0.0000, 15.68, 489.00, 0.0000, 150, 112, 74
L -4.00, -584.00, 0.0000, 27.68, -540.00, 0.0000, 150, 112, 74
L -4.00, 445.00, 0.0000, 27.68, 489.00, 0.0000, 150, 112, 74
L 8.00, -584.00, 0.0000, 39.68, -540.00, 0.0000, 150, 112, 74
L 8.00, 445.00, 0.0000, 39.68, 489.00, 0.0000, 150, 112, 74
L 20.00, -584.00, 0.0000, 51.68, -540.00, 0.0000, 150, 112, 74
L 20.00, 445.00, 0.0000, 51.68, 489.00, 0.0000, 150, 112, 74
L 32.00, -584.00, 0.0000, 63.68, -540.00, 0.0000, 150, 112, 74
L 32.00, 445.00, 0.0000, 63.68, 489.00, 0.0000, 150, 112, 74
L 44.00, -584.00, 0.0000, 75.68, -540.00, 0.0000, 150, 112, 74
L 44.00, 445.00, 0.0000, 75.68, 489.00, 0.0000, 150, 112, 74
L 56.00, -584.00, 0.0000, 87.68, -540.00, 0.0000, 150, 112, 74
L 56.00, 445.00, 0.0000, 87.68, 489.00, 0.0000, 150, 112, 74
L 68.00, -584.00, 0.0000, 99.68, -540.00, 0.0000, 150, 112, 74
L 68.00, 445.00, 0.0000, 99.68, 489.00, 0.0000, 150, 112, 74
L 80.00, -584.00, 0.0000, 111.68, -540.00, 0.0000, 150, 112, 74
L 80.00, 445.00, 0.0000, 111.68, 489.00, 0.0000, 150, 112, 74
L 92.00, -584.00, 0.0000, 123.68, -540.00, 0.0000, 150, 112, 74
L 92.00, 445.00, 0.0000, 123.68, 489.00, 0.0000, 150, 112, 74
L 104.00, -584.00, 0.0000, 135.68, -540.00, 0.0000, 150, 112, 74
L 104.00, 445.00, 0.0000, 135.68, 489.00, 0.0000, 150, 112, 74
L 116.00, -584.00, 0.0000, 147.68, -540.00, 0.0000, 150, 112, 74
L 116.00, 445.00, 0.0000, 147.68, 489.00, 0.0000, 150, 112, 74
L 128.00, -584.00, 0.0000, 159.68, -540.00, 0.0000, 150, 112, 74
L 128.00, 445.00, 0.0000, 159.68, 489.00, 0.0000, 150, 112, 74
L 140.00, -584.00, 0.0000, 171.68, -540.00, 0.0000, 150, 112, 74
L 140.00, 445.00, 0.0000, 171.68, 489.00, 0.0000, 150, 112, 74
L 152.00, -584.00, 0.0000, 183.68, -540.00, 0.0000, 150, 112, 74
L 152.00, 445.00, 0.0000, 183.68, 489.00, 0.0000, 150, 112, 74
L 164.00, -584.00, 0.0000, 195.68, -540.00, 0.0000, 150, 112, 74
L 164.00, 445.00, 0.0000, 195.68, 489.00, 0.0000, 150, 112, 74
L 176.00, -584.00, 0.0000, 207.68, -540.00, 0.0000, 150, 112, 74
L 176.00, 445.00, 0.0000, 207.68, 489.00, 0.0000, 150, 112, 74
L 188.00, -584.00, 0.0000, 219.68, -540.00, 0.0000, 150, 112, 74
L 188.00, 445.00, 0.0000, 219.68, 489.00, 0.0000, 150, 112, 74
L 200.00, -584.00, 0.0000, 231.68, -540.00, 0.0000, 150, 112, 74
L 200.00, 445.00, 0.0000, 231.68, 489.00, 0.0000, 150, 112, 74
L 212.00, -584.00, 0.0000, 243.68, -540.00, 0.0000, 150, 112, 74
L 212.00, 445.00, 0.0000, 243.68, 489.00, 0.0000, 150, 112, 74
L 224.00, -584.00, 0.0000, 255.68, -540.00, 0.0000, 150, 112, 74
L 224.00, 445.00, 0.0000, 255.68, 489.00, 0.0000, 150, 112, 74
L 236.00, -584.00, 0.0000, 267.68, -540.00, 0.0000, 150, 112, 74
L 236.00, 445.00, 0.0000, 267.68, 489.00, 0.0000, 150, 112, 74
L 248.00, -584.00, 0.0000, 279.68, -540.00, 0.0000, 150, 112, 74
L 248.00, 445.00, 0.0000, 279.68, 489.00, 0.0000, 150, 112, 74
L 260.00, -584.00, 0.0000, 291.68, -540.00, 0.0000, 150, 112, 74
L 260.00, 445.00, 0.0000, 291.68, 489.00, 0.0000, 150, 112, 74
L 272.00, -584.00, 0.0000, 303.68, -540.00, 0.0000, 150, 112, 74
L 272.00, 445.00, 0.0000, 303.68, 489.00, 0.0000, 150, 112, 74
L 284.00, -584.00, 0.0000, 315.68, -540.00, 0.0000, 150, 112, 74
L 284.00, 445.00, 0.0000, 315.68, 489.00, 0.0000, 150, 112, 74
L 296.00, -584.00, 0.0000, 327.68, -540.00, 0.0000, 150, 112, 74
L 296.00, 445.00, 0.0000, 327.68, 489.00, 0.0000, 150, 112, 74
L 308.00, -584.00, 0.0000, 339.68, -540.00, 0.0000, 150, 112, 74
L 308.00, 445.00, 0.0000, 339.68, 489.00, 0.0000, 150, 112, 74
L 320.00, -584.00, 0.0000, 351.68, -540.00, 0.0000, 150, 112, 74
L 320.00, 445.00, 0.0000, 351.68, 489.00, 0.0000, 150, 112, 74
L 332.00, -584.00, 0.0000, 363.68, -540.00, 0.0000, 150, 112, 74
L 332.00, 445.00, 0.0000, 363.68, 489.00, 0.0000, 150, 112, 74
L 344.00, -584.00, 0.0000, 375.68, -540.00, 0.0000, 150, 112, 74
L 344.00, 445.00, 0.0000, 375.68, 489.00, 0.0000, 150, 112, 74
L 356.00, -584.00, 0.0000, 387.68, -540.00, 0.0000, 150, 112, 74
L 356.00, 445.00, 0.0000, 387.68, 489.00, 0.0000, 150, 112, 74
L 368.00, -584.00, 0.0000, 399.68, -540.00, 0.0000, 150, 112, 74
L 368.00, 445.00, 0.0000, 399.68, 489.00, 0.0000, 150, 112, 74
L 380.00, -584.00, 0.0000, 411.68, -540.00, 0.0000, 150, 112, 74
L 380.00, 445.00, 0.0000, 411.68, 489.00, 0.0000, 150, 112, 74
L 392.00, -584.00, 0.0000, 423.68, -540.00, 0.0000, 150, 112, 74
L 392.00, 445.00, 0.0000, 423.68, 489.00, 0.0000, 150, 112, 74
L 404.00, -584.00, 0.0000, 435.68, -540.00, 0.0000, 150, 112, 74
L 404.00, 445.00, 0.0000, 435.68, 489.00, 0.0000, 150, 112, 74
L 416.00, -584.00, 0.0000, 447.68, -540.00, 0.0000, 150, 112, 74
L 416.00, 445.00, 0.0000, 447.68, 489.00, 0.0000, 150, 112, 74
L 428.00, -584.00, 0.0000, 459.68, -540.00, 0.0000, 150, 112, 74
L 428.00, 445.00, 0.0000, 459.68, 489.00, 0.0000, 150, 112, 74
L 440.00, -584.00, 0.0000, 471.68, -540.00, 0.0000, 150, 112, 74
L 440.00, 445.00, 0.0000, 471.68, 489.00, 0.0000, 150, 112, 74
L 452.00, -584.00, 0.0000, 483.68, -540.00, 0.0000, 150, 112, 74
L 452.00, 445.00, 0.0000, 483.68, 489.00, 0.0000, 150, 112, 74
L 464.00, -584.00, 0.0000, 495.68, -540.00, 0.0000, 150, 112, 74
L 464.00, 445.00, 0.0000, 495.68, 489.00, 0.0000, 150, 112, 74
L 476.00, -584.00, 0.0000, 507.68, -540.00, 0.0000, 150, 112, 74
L 476.00, 445.00, 0.0000, 507.68, 489.00, 0.0000, 150, 112, 74
L 488.00, -584.00, 0.0000, 519.68, -540.00, 0.0000, 150, 112, 74
L 488.00, 445.00, 0.0000, 519.68, 489.00, 0.0000, 150, 112, 74
L 500.00, -584.00, 0.0000, 531.68, -540.00, 0.0000, 150, 112, 74
L 500.00, 445.00, 0.0000, 531.68, 489.00, 0.0000, 150, 112, 74
L 512.00, -584.00, 0.0000, 543.68, -540.00, 0.0000, 150, 112, 74
L 512.00, 445.00, 0.0000, 543.68, 489.00, 0.0000, 150, 112, 74
L 524.00, -584.00, 0.0000, 555.68, -540.00, 0.0000, 150, 112, 74
L 524.00, 445.00, 0.0000, 555.68, 489.00, 0.0000, 150, 112, 74
L 536.00, -584.00, 0.0000, 567.68, -540.00, 0.0000, 150, 112, 74
L 536.00, 445.00, 0.0000, 567.68, 489.00, 0.0000, 150, 112, 74
L 548.00, -584.00, 0.0000, 579.68, -540.00, 0.0000, 150, 112, 74
L 548.00, 445.00, 0.0000, 579.68, 489.00, 0.0000, 150, 112, 74
L 560.00, -584.00, 0.0000, 591.68, -540.00, 0.0000, 150, 112, 74
L 560.00, 445.00, 0.0000, 591.68, 489.00, 0.0000, 150, 112, 74
L 572.00, -584.00, 0.0000, 603.68, -540.00, 0.0000, 150, 112, 74
L 572.00, 445.00, 0.0000, 603.68, 489.00, 0.0000, 150, 112, 74
L 584.00, -584.00, 0.0000, 615.68, -540.00, 0.0000, 150, 112, 74
L 584.00, 445.00, 0.0000, 615.68, 489.00, 0.0000, 150, 112, 74
L 596.00, -584.00, 0.0000, 627.68, -540.00, 0.0000, 150, 112, 74
L 596.00, 445.00, 0.0000, 627.68, 489.00, 0.0000, 150, 112, 74
L 608.00, -584.00, 0.0000, 632.00, -540.00, 0.0000, 150, 112, 74
L 608.00, 445.00, 0.0000, 632.00, 489.00, 0.0000, 150, 112, 74
L 620.00, -584.00, 0.0000, 632.00, -540.00, 0.0000, 150, 112, 74
L 620.00, 445.00, 0.0000, 632.00, 489.00, 0.0000, 150, 112, 74
L -724.00, -584.00, 0.0000, -680.00, -552.32, 0.0000, 150, 112, 74
L 588.00, -584.00, 0.0000, 632.00, -552.32, 0.0000, 150, 112, 74
L -724.00, -572.00, 0.0000, -680.00, -540.32, 0.0000, 150, 112, 74
L 588.00, -572.00, 0.0000, 632.00, -540.32, 0.0000, 150, 112, 74
L -724.00, -560.00, 0.0000, -680.00, -528.32, 0.0000, 150, 112, 74
L 588.00, -560.00, 0.0000, 632.00, -528.32, 0.0000, 150, 112, 74
