P -947.91, 2207.66, 0.0000, 96, 110, 60, 3, N
P -947.91, 2569.34, 0.0000, 96, 110, 64, 1, S
P -767.07, 2388.50, 0.0000, 96, 110, 64, 1, E
P -1128.75, 2388.50, 0.0000, 96, 110, 64, 1, W
L -620.00, -2872.22, 0.0000, -620.00, 2114.50, 0.0000, 150, 150, 110
L 0.00, -2872.22, 0.0000, 0.00, 2114.50, 0.0000, 150, 150, 110
L 620.00, -2872.22, 0.0000, 620.00, 2114.50, 0.0000, 150, 150, 110
L 1240.00, -2872.22, 0.0000, 1240.00, 2114.50, 0.0000, 150, 150, 110
L 1860.00, -2872.22, 0.0000, 1860.00, 2114.50, 0.0000, 150, 150, 110
L -673.91, -2480.00, 0.0000, 2320.95, -2480.00, 0.0000, 150, 150, 110
L -673.91, -1860.00, 0.0000, 2320.95, -1860.00, 0.0000, 150, 150, 110
L -673.91, -1240.00, 0.0000, 2320.95, -1240.00, 0.0000, 150, 150, 110
L -673.91, -620.00, 0.0000, 2320.95, -620.00, 0.0000, 150, 150, 110
L -673.91, 0.00, 0.0000, 2320.95, 0.00, 0.0000, 150, 150, 110
L -673.91, 620.00, 0.0000, 2320.95, 620.00, 0.0000, 150, 150, 110
L -673.91, 1240.00, 0.0000, 2320.95, 1240.00, 0.0000, 150, 150, 110
L -673.91, 1860.00, 0.0000, 2320.95, 1860.00, 0.0000, 150, 150, 110
L -673.91, -2872.22, 0.0000, 2320.95, -2872.22, 0.0000, 150, 150, 110
L -673.91, 2114.50, 0.0000, 2320.95, 2114.50, 0.0000, 150, 150, 110
L -673.91, -2872.22, 0.0000, -673.91, 2114.50, 0.0000, 150, 150, 110
L 2320.95, -2872.22, 0.0000, 2320.95, 2114.50, 0.0000, 150, 150, 110
L -1470.91, -3669.22, 0.0000, -1164.99, -3615.18, 0.0000, 96, 110, 64
L -1164.99, -3615.18, 0.0000, -859.06, -3669.22, 0.0000, 96, 110, 64
L 2506.10, -3593.90, 0.0000, 2812.03, -3669.22, 0.0000, 96, 110, 64
L 2812.03, -3669.22, 0.0000, 3117.95, -3584.25, 0.0000, 96, 110, 64
L 3117.95, -3669.22, 0.0000, 3023.48, -3370.10, 0.0000, 96, 110, 64
