P -260.44, 1642.28, 0.0000, 70, 86, 92, 3, N
P -260.44, 1821.48, 0.0000, 84, 92, 96, 1, S
P -170.84, 1731.88, 0.0000, 84, 92, 96, 1, E
P -350.04, 1731.88, 0.0000, 84, 92, 96, 1, W
L 0.00, -811.69, 0.0000, 0.00, 1599.38, 0.0000, 150, 150, 140
L 300.00, -811.69, 0.0000, 300.00, 1599.38, 0.0000, 150, 150, 140
L 600.00, -811.69, 0.0000, 600.00, 1599.38, 0.0000, 150, 150, 140
L 900.00, -811.69, 0.0000, 900.00, 1599.38, 0.0000, 150, 150, 140
L 1200.00, -811.69, 0.0000, 1200.00, 1599.38, 0.0000, 150, 150, 140
L 1500.00, -811.69, 0.0000, 1500.00, 1599.38, 0.0000, 150, 150, 140
L 1800.00, -811.69, 0.0000, 1800.00, 1599.38, 0.0000, 150, 150, 140
L -127.94, -300.00, 0.0000, 2051.19, -300.00, 0.0000, 150, 150, 140
L -127.94, 0.00, 0.0000, 2051.19, 0.00, 0.0000, 150, 150, 140
L -127.94, 300.00, 0.0000, 2051.19, 300.00, 0.0000, 150, 150, 140
L -127.94, 600.00, 0.0000, 2051.19, 600.00, 0.0000, 150, 150, 140
L -127.94, 900.00, 0.0000, 2051.19, 900.00, 0.0000, 150, 150, 140
L -127.94, 1200.00, 0.0000, 2051.19, 1200.00, 0.0000, 150, 150, 140
L -127.94, 1500.00, 0.0000, 2051.19, 1500.00, 0.0000, 150, 150, 140
L -127.94, 1599.38, 0.0000, 2051.19, 1599.38, 0.0000, 150, 150, 140
L -127.94, -811.69, 0.0000, -127.94, 1599.38, 0.0000, 150, 150, 140
L 2051.19, -811.69, 0.0000, 2051.19, 1599.38, 0.0000, 150, 150, 140
L -512.94, -1196.69, 0.0000, -365.48, -1158.39, 0.0000, 84, 92, 96
L -365.48, -1158.39, 0.0000, -218.03, -1196.69, 0.0000, 84, 92, 96
L -218.03, -1196.69, 0.0000, -70.57, -1164.39, 0.0000, 84, 92, 96
L -70.57, -1164.39, 0.0000, 76.89, -1196.69, 0.0000, 84, 92, 96
L 76.89, -1196.69, 0.0000, 224.34, -1168.86, 0.0000, 84, 92, 96
L 224.34, -1168.86, 0.0000, 371.80, -1196.69, 0.0000, 84, 92, 96
L 371.80, -1196.69, 0.0000, 519.26, -1166.38, 0.0000, 84, 92, 96
L 1403.99, -1162.23, 0.0000, 1551.45, -1196.69, 0.0000, 84, 92, 96
L 1551.45, -1196.69, 0.0000, 1698.91, -1155.89, 0.0000, 84, 92, 96
L 1698.91, -1155.89, 0.0000, 1846.36, -1196.69, 0.0000, 84, 92, 96
L 1846.36, -1196.69, 0.0000, 1993.82, -1162.86, 0.0000, 84, 92, 96
L 1993.82, -1162.86, 0.0000, 2141.28, -1196.69, 0.0000, 84, 92, 96
L 2141.28, -1196.69, 0.0000, 2288.73, -1178.62, 0.0000, 84, 92, 96
L 2288.73, -1178.62, 0.0000, 2436.19, -1196.69, 0.0000, 84, 92, 96
L 2436.19, -1196.69, 0.0000, 2391.04, -1052.10, 0.0000, 84, 92, 96
L 2391.04, -1052.10, 0.0000, 2436.19, -907.50, 0.0000, 84, 92, 96
L -218.03, 1984.38, 0.0000, -365.48, 1937.16, 0.0000, 84, 92, 96
L -365.48, 1937.16, 0.0000, -512.94, 1984.38, 0.0000, 84, 92, 96
L -512.94, 1984.38, 0.0000, -479.64, 1839.79, 0.0000, 84, 92, 96
L -479.64, 1839.79, 0.0000, -512.94, 1695.19, 0.0000, 84, 92, 96
L -512.94, 1695.19, 0.0000, -485.40, 1550.60, 0.0000, 84, 92, 96
L -485.40, 1550.60, 0.0000, -512.94, 1406.00, 0.0000, 84, 92, 96
L -512.94, 1406.00, 0.0000, -470.21, 1261.41, 0.0000, 84, 92, 96
L -470.21, 1261.41, 0.0000, -512.94, 1116.82, 0.0000, 84, 92, 96
L -512.94, 1116.82, 0.0000, -489.17, 972.22, 0.0000, 84, 92, 96
L -489.17, 972.22, 0.0000, -512.94, 827.63, 0.0000, 84, 92, 96
L -512.94, 827.63, 0.0000, -491.90, 683.03, 0.0000, 84, 92, 96
L -491.90, 683.03, 0.0000, -512.94, 538.44, 0.0000, 84, 92, 96
L -512.94, -907.50, 0.0000, -491.87, -1052.10, 0.0000, 84, 92, 96
L -491.87, -1052.10, 0.0000, -512.94, -1196.69, 0.0000, 84, 92, 96
L -392.94, -1076.69, 0.0000, -199.43, -1058.74, 0.0000, 150, 164, 168
L -199.43, -1058.74, 0.0000, -5.92, -1076.69, 0.0000, 150, 164, 168
L -5.92, -1076.69, 0.0000, 187.59, -1065.47, 0.0000, 150, 164, 168
L 1735.66, -1054.54, 0.0000, 1929.17, -1076.69, 0.0000, 150, 164, 168
L 1929.17, -1076.69, 0.0000, 2122.68, -1056.48, 0.0000, 150, 164, 168
L 2122.68, -1056.48, 0.0000, 2316.19, -1076.69, 0.0000, 150, 164, 168
L 2316.19, -1076.69, 0.0000, 2299.47, -880.62, 0.0000, 150, 164, 168
