P -1543.50, 1448.04, 0.0000, 90, 60, 120, 3, N
P -1543.50, 1652.64, 0.0000, 50, 40, 64, 1, S
P -1441.20, 1550.34, 0.0000, 50, 40, 64, 1, E
P -1645.80, 1550.34, 0.0000, 50, 40, 64, 1, W
L -1080.00, -1397.12, 0.0000, -1080.00, 1395.34, 0.0000, 120, 110, 130
L -720.00, -1397.12, 0.0000, -720.00, 1395.34, 0.0000, 120, 110, 130
L -360.00, -1397.12, 0.0000, -360.00, 1395.34, 0.0000, 120, 110, 130
L 0.00, -1397.12, 0.0000, 0.00, 1395.34, 0.0000, 120, 110, 130
L 360.00, -1397.12, 0.0000, 360.00, 1395.34, 0.0000, 120, 110, 130
L 720.00, -1397.12, 0.0000, 720.00, 1395.34, 0.0000, 120, 110, 130
L 1080.00, -1397.12, 0.0000, 1080.00, 1395.34, 0.0000, 120, 110, 130
L -1388.50, -720.00, 0.0000, 1428.34, -720.00, 0.0000, 120, 110, 130
L -1388.50, -360.00, 0.0000, 1428.34, -360.00, 0.0000, 120, 110, 130
L -1388.50, 0.00, 0.0000, 1428.34, 0.00, 0.0000, 120, 110, 130
L -1388.50, 360.00, 0.0000, 1428.34, 360.00, 0.0000, 120, 110, 130
L -1388.50, 720.00, 0.0000, 1428.34, 720.00, 0.0000, 120, 110, 130
L -1388.50, 1080.00, 0.0000, 1428.34, 1080.00, 0.0000, 120, 110, 130
L -1388.50, 1395.34, 0.0000, 1428.34, 1395.34, 0.0000, 120, 110, 130
L -1388.50, -1397.12, 0.0000, -1388.50, 1395.34, 0.0000, 120, 110, 130
L 1428.34, -1397.12, 0.0000, 1428.34, 1395.34, 0.0000, 120, 110, 130
L -1838.50, -1847.12, 0.0000, -1661.51, -1821.99, 0.0000, 50, 40, 64
L -1661.51, -1821.99, 0.0000, -1484.52, -1847.12, 0.0000, 50, 40, 64
L -1484.52, -1847.12, 0.0000, -1307.52, -1805.35, 0.0000, 50, 40, 64
L -1307.52, -1805.35, 0.0000, -1130.53, -1847.12, 0.0000, 50, 40, 64
L -1130.53, -1847.12, 0.0000, -953.54, -1798.51, 0.0000, 50, 40, 64
L 993.38, -1847.12, 0.0000, 1170.37, -1827.04, 0.0000, 50, 40, 64
L 1170.37, -1827.04, 0.0000, 1347.36, -1847.12, 0.0000, 50, 40, 64
L 1347.36, -1847.12, 0.0000, 1524.36, -1806.01, 0.0000, 50, 40, 64
L 1524.36, -1806.01, 0.0000, 1701.35, -1847.12, 0.0000, 50, 40, 64
L 1701.35, -1847.12, 0.0000, 1878.34, -1815.69, 0.0000, 50, 40, 64
L 1878.34, -1847.12, 0.0000, 1851.85, -1671.29, 0.0000, 50, 40, 64
L 1851.85, -1671.29, 0.0000, 1878.34, -1495.46, 0.0000, 50, 40, 64
L 1878.34, -1495.46, 0.0000, 1841.37, -1319.63, 0.0000, 50, 40, 64
L 1841.37, -1319.63, 0.0000, 1878.34, -1143.79, 0.0000, 50, 40, 64
L 1878.34, -1143.79, 0.0000, 1835.16, -967.96, 0.0000, 50, 40, 64
L 1835.16, -967.96, 0.0000, 1878.34, -792.13, 0.0000, 50, 40, 64
