P 196.9200, -752.2820, 0.0000, 150, 60, 25, 3, N
P 196.9200, -573.0820, 0.0000, 110, 90, 70, 1, S
P 286.5200, -662.6820, 0.0000, 110, 90, 70, 1, E
P 107.3200, -662.6820, 0.0000, 110, 90, 70, 1, W
L 360.00, -801.69, 0.0000, 360.00, -181.94, 0.0000, 178, 172, 158
L 480.00, -801.69, 0.0000, 480.00, -181.94, 0.0000, 178, 172, 158
L 600.00, -801.69, 0.0000, 600.00, -181.94, 0.0000, 178, 172, 158
L 720.00, -801.69, 0.0000, 720.00, -181.94, 0.0000, 178, 172, 158
L 840.00, -801.69, 0.0000, 840.00, -181.94, 0.0000, 178, 172, 158
L 333.88, -600.00, 0.0000, 939.62, -600.00, 0.0000, 178, 172, 158
L 333.88, -480.00, 0.0000, 939.62, -480.00, 0.0000, 178, 172, 158
L 333.88, -360.00, 0.0000, 939.62, -360.00, 0.0000, 178, 172, 158
L 333.88, -240.00, 0.0000, 939.62, -240.00, 0.0000, 178, 172, 158
L 333.88, -181.94, 0.0000, 939.62, -181.94, 0.0000, 178, 172, 158
L 333.88, -801.69, 0.0000, 333.88, -181.94, 0.0000, 178, 172, 158
L 939.62, -801.69, 0.0000, 939.62, -181.94, 0.0000, 178, 172, 158
L 1114.84, -766.75, 0.0000, 1179.62, -491.81, 0.0000, 110, 90, 70
L 1179.62, -491.81, 0.0000, 1145.89, -216.88, 0.0000, 110, 90, 70
L 1145.89, -216.88, 0.0000, 1179.62, 58.06, 0.0000, 110, 90, 70
L 1179.62, 58.06, 0.0000, 908.18, 30.41, 0.0000, 110, 90, 70
L 908.18, 30.41, 0.0000, 636.75, 58.06, 0.0000, 110, 90, 70
L 636.75, 58.06, 0.0000, 365.32, 10.17, 0.0000, 110, 90, 70
L 365.32, 10.17, 0.0000, 93.88, 58.06, 0.0000, 110, 90, 70
L 93.88, 58.06, 0.0000, 143.68, -216.88, 0.0000, 110, 90, 70
L 143.68, -216.88, 0.0000, 93.88, -491.81, 0.0000, 110, 90, 70
L 93.88, -491.81, 0.0000, 143.25, -766.75, 0.0000, 110, 90, 70
L 1062.47, -491.81, 0.0000, 1099.62, -21.94, 0.0000, 180, 150, 60
L 1099.62, -21.94, 0.0000, 636.75, -53.35, 0.0000, 180, 150, 60
L 636.75, -53.35, 0.0000, 173.88, -21.94, 0.0000, 180, 150, 60
L 173.88, -21.94, 0.0000, 207.37, -491.81, 0.0000, 180, 150, 60
L  158.9200, -701.6820, 0.0000, 214.9200, -701.6820, 0.0000, 180, 150, 60
L  158.9200, -701.6820, 0.0000, 158.9200, -617.6820, 0.0000, 150, 40, 40
L  214.9200, -701.6820, 0.0000, 214.9200, -617.6820, 0.0000, 150, 40, 40
L  158.9200, -617.6820, 0.0000, 186.9200, -593.1820, 0.0000, 150, 40, 40
L  214.9200, -617.6820, 0.0000, 186.9200, -593.1820, 0.0000, 150, 40, 40
L  186.9200, -691.1820, 0.0000, 186.9200, -631.6820, 0.0000, 180, 150, 60
L  174.3200, -666.6820, 0.0000, 199.5200, -666.6820, 0.0000, 180, 150, 60
L 1001.62, -140.94, 0.0000, 1057.62, -140.94, 0.0000, 180, 150, 60
L 1001.62, -140.94, 0.0000, 1001.62, -56.94, 0.0000, 150, 40, 40
L 1057.62, -140.94, 0.0000, 1057.62, -56.94, 0.0000, 150, 40, 40
L 1001.62, -56.94, 0.0000, 1029.62, -32.44, 0.0000, 150, 40, 40
L 1057.62, -56.94, 0.0000, 1029.62, -32.44, 0.0000, 150, 40, 40
L 1029.62, -130.44, 0.0000, 1029.62, -70.94, 0.0000, 180, 150, 60
L 1017.02, -105.94, 0.0000, 1042.22, -105.94, 0.0000, 180, 150, 60
L 375.05, -800.24, 0.0000, 448.60, -800.24, 0.0000, 180, 150, 60
L 468.22, -800.24, 0.0000, 527.06, -800.24, 0.0000, 180, 150, 60
L 669.27, -800.24, 0.0000, 713.40, -800.24, 0.0000, 180, 150, 60
L 934.07, -800.24, 0.0000, 1007.62, -800.24, 0.0000, 180, 150, 60
L 243.88, -764.24, 0.0000, 1029.62, -764.24, 0.0000, 180, 150, 60
L  266.9200, -662.6820, 0.0000, 265.8600, -650.5220, 0.0000, 110, 90, 70
L  265.8600, -650.5220, 0.0000, 262.7000, -638.7420, 0.0000, 110, 90, 70
L  262.7000, -638.7420, 0.0000, 257.5400, -627.6820, 0.0000, 110, 90, 70
L  257.5400, -627.6820, 0.0000, 250.5400, -617.6820, 0.0000, 110, 90, 70
L  250.5400, -617.6820, 0.0000, 241.9200, -609.0620, 0.0000, 110, 90, 70
L  241.9200, -609.0620, 0.0000, 231.9200, -602.0620, 0.0000, 110, 90, 70
L  231.9200, -602.0620, 0.0000, 220.8600, -596.9020, 0.0000, 110, 90, 70
L  220.8600, -596.9020, 0.0000, 209.0800, -593.7420, 0.0000, 110, 90, 70
L  209.0800, -593.7420, 0.0000, 196.9200, -592.6820, 0.0000, 110, 90, 70
L  196.9200, -592.6820, 0.0000, 184.7600, -593.7420, 0.0000, 110, 90, 70
L  184.7600, -593.7420, 0.0000, 172.9800, -596.9020, 0.0000, 110, 90, 70
L  172.9800, -596.9020, 0.0000, 161.9200, -602.0620, 0.0000, 110, 90, 70
L  161.9200, -602.0620, 0.0000, 151.9200, -609.0620, 0.0000, 110, 90, 70
L  151.9200, -609.0620, 0.0000, 143.3000, -617.6820, 0.0000, 110, 90, 70
L  143.3000, -617.6820, 0.0000, 136.3000, -627.6820, 0.0000, 110, 90, 70
L  136.3000, -627.6820, 0.0000, 131.1400, -638.7420, 0.0000, 110, 90, 70
L  131.1400, -638.7420, 0.0000, 127.9800, -650.5220, 0.0000, 110, 90, 70
L  127.9800, -650.5220, 0.0000, 126.9200, -662.6820, 0.0000, 110, 90, 70
L  126.9200, -662.6820, 0.0000, 127.9800, -674.8420, 0.0000, 110, 90, 70
L  127.9800, -674.8420, 0.0000, 131.1400, -686.6220, 0.0000, 110, 90, 70
L  131.1400, -686.6220, 0.0000, 136.3000, -697.6820, 0.0000, 110, 90, 70
L  136.3000, -697.6820, 0.0000, 143.3000, -707.6820, 0.0000, 110, 90, 70
L  143.3000, -707.6820, 0.0000, 151.9200, -716.3020, 0.0000, 110, 90, 70
L  151.9200, -716.3020, 0.0000, 161.9200, -723.3020, 0.0000, 110, 90, 70
L  161.9200, -723.3020, 0.0000, 172.9800, -728.4620, 0.0000, 110, 90, 70
L  172.9800, -728.4620, 0.0000, 184.7600, -731.6220, 0.0000, 110, 90, 70
L  184.7600, -731.6220, 0.0000, 196.9200, -732.6820, 0.0000, 110, 90, 70
L  196.9200, -732.6820, 0.0000, 209.0800, -731.6220, 0.0000, 110, 90, 70
L  209.0800, -731.6220, 0.0000, 220.8600, -728.4620, 0.0000, 110, 90, 70
L  220.8600, -728.4620, 0.0000, 231.9200, -723.3020, 0.0000, 110, 90, 70
L  231.9200, -723.3020, 0.0000, 241.9200, -716.3020, 0.0000, 110, 90, 70
L  241.9200, -716.3020, 0.0000, 250.5400, -707.6820, 0.0000, 110, 90, 70
L  250.5400, -707.6820, 0.0000, 257.5400, -697.6820, 0.0000, 110, 90, 70
L  257.5400, -697.6820, 0.0000, 262.7000, -686.6220, 0.0000, 110, 90, 70
L  262.7000, -686.6220, 0.0000, 265.8600, -674.8420, 0.0000, 110, 90, 70
L  265.8600, -674.8420, 0.0000, 266.9200, -662.6820, 0.0000, 110, 90, 70
L  276.0200, -662.6820, 0.0000, 274.8200, -648.9420, 0.0000, 180, 150, 60
L  274.8200, -648.9420, 0.0000, 271.2500, -635.6320, 0.0000, 180, 150, 60
L  271.2500, -635.6320, 0.0000, 265.4200, -623.1320, 0.0000, 180, 150, 60
L  265.4200, -623.1320, 0.0000, 257.5100, -611.8420, 0.0000, 180, 150, 60
L  257.5100, -611.8420, 0.0000, 247.7600, -602.0920, 0.0000, 180, 150, 60
L  247.7600, -602.0920, 0.0000, 236.4700, -594.1820, 0.0000, 180, 150, 60
L  236.4700, -594.1820, 0.0000, 223.9700, -588.3520, 0.0000, 180, 150, 60
L  223.9700, -588.3520, 0.0000, 210.6600, -584.7820, 0.0000, 180, 150, 60
L  210.6600, -584.7820, 0.0000, 196.9200, -583.5820, 0.0000, 180, 150, 60
L  196.9200, -583.5820, 0.0000, 183.1800, -584.7820, 0.0000, 180, 150, 60
L  183.1800, -584.7820, 0.0000, 169.8700, -588.3520, 0.0000, 180, 150, 60
L  169.8700, -588.3520, 0.0000, 157.3700, -594.1820, 0.0000, 180, 150, 60
L  157.3700, -594.1820, 0.0000, 146.0800, -602.0920, 0.0000, 180, 150, 60
L  146.0800, -602.0920, 0.0000, 136.3300, -611.8420, 0.0000, 180, 150, 60
L  136.3300, -611.8420, 0.0000, 128.4200, -623.1320, 0.0000, 180, 150, 60
L  128.4200, -623.1320, 0.0000, 122.5900, -635.6320, 0.0000, 180, 150, 60
L  122.5900, -635.6320, 0.0000, 119.0200, -648.9420, 0.0000, 180, 150, 60
L  119.0200, -648.9420, 0.0000, 117.8200, -662.6820, 0.0000, 180, 150, 60
L  117.8200, -662.6820, 0.0000, 119.0200, -676.4220, 0.0000, 180, 150, 60
L  119.0200, -676.4220, 0.0000, 122.5900, -689.7320, 0.0000, 180, 150, 60
L  122.5900, -689.7320, 0.0000, 128.4200, -702.2320, 0.0000, 180, 150, 60
L  128.4200, -702.2320, 0.0000, 136.3300, -713.5220, 0.0000, 180, 150, 60
L  136.3300, -713.5220, 0.0000, 146.0800, -723.2720, 0.0000, 180, 150, 60
L  146.0800, -723.2720, 0.0000, 157.3700, -731.1820, 0.0000, 180, 150, 60
L  157.3700, -731.1820, 0.0000, 169.8700, -737.0120, 0.0000, 180, 150, 60
L  169.8700, -737.0120, 0.0000, 183.1800, -740.5820, 0.0000, 180, 150, 60
L  183.1800, -740.5820, 0.0000, 196.9200, -741.7820, 0.0000, 180, 150, 60
L  196.9200, -741.7820, 0.0000, 210.6600, -740.5820, 0.0000, 180, 150, 60
L  210.6600, -740.5820, 0.0000, 223.9700, -737.0120, 0.0000, 180, 150, 60
L  223.9700, -737.0120, 0.0000, 236.4700, -731.1820, 0.0000, 180, 150, 60
