P 2525.090, -668.780, 0.0000, 205, 120, 45, 3, N
P 2525.090, -462.780, 0.0000, 115, 110, 104, 1, S
P 2620.090, -557.780, 0.0000, 115, 110, 104, 1, E
P 2430.090, -557.780, 0.0000, 115, 110, 104, 1, W
L 2375.090, -857.780, 0.0000, 2375.090, 1389.470, 0.0000, 45, 40, 38
L 2375.090, 1389.470, 0.0000, -495.840, 1389.470, 0.0000, 45, 40, 38
L -495.840, 1389.470, 0.0000, -495.840, -857.780, 0.0000, 45, 40, 38
L 2359.090, -841.780, 0.0000, 2359.090, 1373.470, 0.0000, 115, 110, 104
L 2359.090, 1373.470, 0.0000, -479.840, 1373.470, 0.0000, 115, 110, 104
L -479.840, 1373.470, 0.0000, -479.840, -841.780, 0.0000, 115, 110, 104
L 2345.090, -827.780, 0.0000, 2345.090, 1359.470, 0.0000, 45, 40, 38
L 2345.090, 1359.470, 0.0000, -465.840, 1359.470, 0.0000, 45, 40, 38
L -465.840, 1359.470, 0.0000, -465.840, -827.780, 0.0000, 45, 40, 38
L -238.829, -847.112, 0.0000, -224.362, -849.777, 0.0000, 205, 120, 45
L -224.362, -849.777, 0.0000, -209.968, -846.749, 0.0000, 205, 120, 45
L -209.968, -846.749, 0.0000, -197.802, -838.481, 0.0000, 205, 120, 45
L -197.802, -838.481, 0.0000, -189.687, -826.212, 0.0000, 205, 120, 45
L -189.687, -826.212, 0.0000, -186.840, -811.780, 0.0000, 205, 120, 45
L -186.840, -811.780, 0.0000, -189.687, -797.348, 0.0000, 205, 120, 45
L -189.687, -797.348, 0.0000, -197.802, -785.079, 0.0000, 205, 120, 45
L -197.802, -785.079, 0.0000, -209.968, -776.811, 0.0000, 205, 120, 45
L -209.968, -776.811, 0.0000, -224.362, -773.783, 0.0000, 205, 120, 45
L -224.362, -773.783, 0.0000, -238.829, -776.448, 0.0000, 205, 120, 45
L 61.171, -847.112, 0.0000, 75.638, -849.777, 0.0000, 205, 120, 45
L 75.638, -849.777, 0.0000, 90.032, -846.749, 0.0000, 205, 120, 45
L 90.032, -846.749, 0.0000, 102.198, -838.481, 0.0000, 205, 120, 45
L 102.198, -838.481, 0.0000, 110.313, -826.212, 0.0000, 205, 120, 45
