P 2938.00, 2829.50, 0.0000, 90, 60, 34, 3, N
P 2938.00, 3192.50, 0.0000, 90, 60, 34, 1, S
P 3119.50, 3011.00, 0.0000, 90, 60, 34, 1, E
P 2756.50, 3011.00, 0.0000, 90, 60, 34, 1, W
L -2680.00, -2709.00, 0.0000, -2680.00, 2736.00, 0.0000, 196, 186, 166
L -2144.00, -2709.00, 0.0000, -2144.00, 2736.00, 0.0000, 196, 186, 166
L -1608.00, -2709.00, 0.0000, -1608.00, 2736.00, 0.0000, 196, 186, 166
L -1072.00, -2709.00, 0.0000, -1072.00, 2736.00, 0.0000, 196, 186, 166
L -536.00, -2709.00, 0.0000, -536.00, 2736.00, 0.0000, 196, 186, 166
L 0.00, -2709.00, 0.0000, 0.00, 2736.00, 0.0000, 196, 186, 166
L 536.00, -2709.00, 0.0000, 536.00, 2736.00, 0.0000, 196, 186, 166
L 1072.00, -2709.00, 0.0000, 1072.00, 2736.00, 0.0000, 196, 186, 166
L 1608.00, -2709.00, 0.0000, 1608.00, 2736.00, 0.0000, 196, 186, 166
L 2144.00, -2709.00, 0.0000, 2144.00, 2736.00, 0.0000, 196, 186, 166
L -2699.00, -1608.00, 0.0000, 2663.00, -1608.00, 0.0000, 196, 186, 166
L -2699.00, -1072.00, 0.0000, 2663.00, -1072.00, 0.0000, 196, 186, 166
L -2699.00, -536.00, 0.0000, 2663.00, -536.00, 0.0000, 196, 186, 166
L -2699.00, 0.00, 0.0000, 2663.00, 0.00, 0.0000, 196, 186, 166
L -2699.00, 536.00, 0.0000, 2663.00, 536.00, 0.0000, 196, 186, 166
L -2699.00, 1072.00, 0.0000, 2663.00, 1072.00, 0.0000, 196, 186, 166
L -2699.00, 1608.00, 0.0000, 2663.00, 1608.00, 0.0000, 196, 186, 166
L -2699.00, 2144.00, 0.0000, 2663.00, 2144.00, 0.0000, 196, 186, 166
L -2699.00, 2680.00, 0.0000, 2663.00, 2680.00, 0.0000, 196, 186, 166
L -2699.00, 2736.00, 0.0000, 2663.00, 2736.00, 0.0000, 196, 186, 166
L -2699.00, -2709.00, 0.0000, -2699.00, 2736.00, 0.0000, 196, 186, 166
L 2663.00, -2709.00, 0.0000, 2663.00, 2736.00, 0.0000, 196, 186, 166
