L 1058, -1050, -196, 1058, -1054, -196, 76, 94, 64
L 294, -336, -223, 294, -350, -224, 60, 78, 52
L -30, -944, -214, -68, -932, -218, 60, 78, 52
L 658, -1162, -182, 658, -1162, -127, 98, 124, 86
L 672, -700, -182, 672, -700, -196, 88, 108, 74
L 744, -886, -183, 746, -884, -195, 88, 108, 74
L -714, -924, -168, -714, -924, -182, 88, 108, 74
L 52, -808, -214, 8, -808, -184, 76, 94, 64
L 966, -938, -196, 966, -938, -182, 88, 108, 74
L 728, -658, -140, 728, -672, -140, 98, 124, 86
L -210, -616, 16, -210, -616, 2, 98, 124, 86
L 402, -456, -208, 434, -441, -208, 76, 94, 64
L -290, -656, -202, -290, -658, -210, 76, 94, 64
L 840, -1192, -196, 826, -1192, -196, 76, 94, 64
L -200, -776, -203, -200, -776, -193, 76, 94, 64
L -242, -1018, -210, -242, -1018, -196, 76, 94, 64
L 158, -680, -212, 158, -718, -212, 60, 78, 52
L 756, -658, -98, 742, -658, -98, 98, 124, 86
L 770, -1385, -182, 770, -1399, -168, 88, 108, 74
L -498, -901, -211, -510, -900, -212, 60, 78, 52
L 728, -1190, -182, 728, -1190, -196, 88, 108, 74
L 840, -602, -182, 840, -602, -203, 88, 108, 74
L 546, -196, -239, 532, -196, -239, 60, 78, 52
L 572, -452, -196, 572, -452, -190, 88, 108, 74
L 546, -256, -224, 546, -254, -225, 60, 78, 52
L 496, -1565, -70, 496, -1563, -70, 98, 124, 86
L 836, -602, -201, 836, -616, -202, 76, 94, 64
L 670, -710, -106, 670, -710, -110, 98, 124, 86
L 242, -696, -194, 260, -688, -213, 76, 94, 64
L 462, -756, -182, 462, -728, -196, 88, 108, 74
L 620, -574, -144, 620, -564, -144, 98, 124, 86
L 384, -1086, -140, 372, -1088, -140, 98, 124, 86
L -18, 100, -236, -18, 100, -238, 60, 78, 52
L 93, -348, -237, 102, -350, -237, 60, 78, 52
L 628, -782, -182, 594, -782, -196, 88, 108, 74
L 260, -668, -190, 260, -688, -190, 88, 108, 74
L 742, -1204, -182, 728, -1204, -182, 88, 108, 74
L 624, -984, -196, 642, -984, -190, 88, 108, 74
L 756, -1517, -150, 754, -1517, -150, 98, 124, 86
L 616, -770, -182, 616, -742, -196, 88, 108, 74
L -82, 128, -225, -84, 128, -229, 60, 78, 52
L 1058, -1056, -194, 1056, -1056, -194, 88, 108, 74
L -25, 101, -233, -25, 109, -233, 60, 78, 52
L -12, 124, -232, -14, 124, -232, 60, 78, 52
L 672, -782, -140, 672, -782, -182, 88, 108, 74
L -570, -832, -207, -546, -824, -208, 76, 94, 64
L 162, 38, -200, 162, 38, -186, 88, 108, 74
L 488, -948, -142, 512, -938, -142, 98, 124, 86
L -494, -878, -212, -510, -878, -210, 76, 94, 64
L 448, -202, -252, 448, -202, -240, 60, 78, 52
L 826, -826, -196, 798, -826, -196, 76, 94, 64
L 322, -394, -56, 294, -394, -56, 98, 124, 86
L 742, -1176, -182, 742, -1176, -196, 88, 108, 74
L -88, -840, -194, -106, -848, -196, 88, 108, 74
L 1052, -1078, -154, 1054, -1078, -154, 98, 124, 86
L 93, -347, -236, 93, -347, -238, 60, 78, 52
L 223, 16, -210, 223, 16, -205, 76, 94, 64
L 744, -1503, -140, 744, -1502, -142, 98, 124, 86
L 546, -276, -206, 546, -274, -206, 76, 94, 64
L 616, -672, -154, 630, -672, -168, 88, 108, 74
L -512, -810, -211, -508, -810, -211, 76, 94, 64
L -450, -824, -69, -452, -824, -70, 98, 124, 86
L 728, -588, -126, 726, -588, -126, 98, 124, 86
L 554, -1056, -141, 538, -1060, -126, 98, 124, 86
L 406, -266, -238, 406, -266, -242, 60, 78, 52
L -450, -816, -69, -450, -824, -69, 98, 124, 86
L -532, -864, -182, -532, -854, -182, 88, 108, 74
