P -627.7700, -910.2800, 0.0000, 90, 70, 50, 3, N
P -627.7700, -731.0800, 0.0000, 90, 70, 50, 1, S
P -538.1700, -820.6800, 0.0000, 90, 70, 50, 1, E
P -717.3700, -820.6800, 0.0000, 90, 70, 50, 1, W
L -360.00, -685.72, 0.0000, -360.00, 805.69, 0.0000, 150, 158, 168
L -180.00, -685.72, 0.0000, -180.00, 805.69, 0.0000, 150, 158, 168
L 0.00, -685.72, 0.0000, 0.00, 805.69, 0.0000, 150, 158, 168
L 180.00, -685.72, 0.0000, 180.00, 805.69, 0.0000, 150, 158, 168
L 360.00, -685.72, 0.0000, 360.00, 805.69, 0.0000, 150, 158, 168
L 540.00, -685.72, 0.0000, 540.00, 805.69, 0.0000, 150, 158, 168
L -492.81, -360.00, 0.0000, 554.78, -360.00, 0.0000, 150, 158, 168
L -492.81, -180.00, 0.0000, 554.78, -180.00, 0.0000, 150, 158, 168
L -492.81, 0.00, 0.0000, 554.78, 0.00, 0.0000, 150, 158, 168
L -492.81, 180.00, 0.0000, 554.78, 180.00, 0.0000, 150, 158, 168
L -492.81, 360.00, 0.0000, 554.78, 360.00, 0.0000, 150, 158, 168
L -492.81, 540.00, 0.0000, 554.78, 540.00, 0.0000, 150, 158, 168
L -492.81, 720.00, 0.0000, 554.78, 720.00, 0.0000, 150, 158, 168
L -492.81, 805.69, 0.0000, 554.78, 805.69, 0.0000, 150, 158, 168
L -492.81, -685.72, 0.0000, -492.81, 805.69, 0.0000, 150, 158, 168
L 554.78, -685.72, 0.0000, 554.78, 805.69, 0.0000, 150, 158, 168
L -730.81, -923.72, 0.0000, -603.84, -912.83, 0.0000, 90, 70, 50
L -603.84, -912.83, 0.0000, -476.88, -923.72, 0.0000, 90, 70, 50
L -476.88, -923.72, 0.0000, -349.91, -894.13, 0.0000, 90, 70, 50
L 411.88, -899.43, 0.0000, 538.85, -923.72, 0.0000, 90, 70, 50
L 538.85, -923.72, 0.0000, 665.81, -903.26, 0.0000, 90, 70, 50
L 665.81, -903.26, 0.0000, 792.78, -923.72, 0.0000, 90, 70, 50
L 792.78, -923.72, 0.0000, 778.27, -800.76, 0.0000, 90, 70, 50
L -603.84, 1032.75, 0.0000, -730.81, 1043.69, 0.0000, 90, 70, 50
L -730.81, 1043.69, 0.0000, -702.81, 920.73, 0.0000, 90, 70, 50
