L -71,  65,  98,  -71,  79,  119, 100, 88, 118
L -193,  -105,  96,  -188,  -108,  96, 100, 88, 118
L -272,  -394,  138,  -272,  -392,  138, 132, 116, 86
L -422,  -279,  176,  -393,  -279,  187, 132, 116, 86
L -329,  99,  44,  -317,  99,  44, 74, 66, 100
L 447,  -293,  141,  448,  -293,  141, 132, 116, 86
L 397,  418,  98,  416,  384,  98, 100, 88, 118
L 226,  -459,  40,  232,  -459,  40, 74, 66, 100
L 6,  101,  10,  6,  113,  24, 74, 66, 100
L 134,  474,  116,  139,  478,  124, 100, 88, 118
L 320,  -391,  100,  350,  -420,  98, 100, 88, 118
L 142,  483,  154,  143,  484,  153, 132, 116, 86
L -430,  487,  119,  -430,  487,  124, 100, 88, 118
L -510,  580,  124,  -506,  580,  129, 100, 88, 118
L 357,  -270,  42,  373,  -270,  41, 74, 66, 100
L 246,  -559,  134,  250,  -554,  132, 132, 116, 86
L 492,  608,  152,  492,  614,  152, 132, 116, 86
L 473,  -198,  186,  475,  -198,  186, 132, 116, 86
L -397,  -532,  152,  -396,  -530,  153, 132, 116, 86
L 381,  142,  143,  381,  148,  143, 132, 116, 86
L 317,  -22,  6,  317,  -21,  0, 74, 66, 100
L 269,  -464,  17,  269,  -462,  25, 74, 66, 100
L 377,  -30,  22,  377,  -30,  38, 74, 66, 100
L 506,  167,  153,  507,  166,  153, 132, 116, 86
L 54,  216,  116,  54,  216,  124, 100, 88, 118
L 169,  316,  153,  176,  329,  142, 132, 116, 86
L 37,  -338,  40,  58,  -359,  40, 74, 66, 100
L -229,  82,  54,  -225,  86,  80, 100, 88, 118
L 357,  121,  156,  358,  121,  153, 132, 116, 86
L 132,  -225,  25,  133,  -226,  0, 74, 66, 100
L 170,  478,  100,  207,  478,  100, 100, 88, 118
L 94,  400,  54,  96,  398,  51, 74, 66, 100
L 33,  -216,  38,  33,  -215,  38, 74, 66, 100
L 140,  475,  153,  143,  479,  153, 132, 116, 86
L -286,  284,  38,  -280,  290,  10, 74, 66, 100
L -316,  55,  154,  -316,  60,  180, 132, 116, 86
L -360,  -616,  119,  -360,  -597,  98, 100, 88, 118
L -251,  384,  41,  -242,  375,  41, 74, 66, 100
L -322,  356,  56,  -318,  356,  82, 100, 88, 118
L 78,  -239,  49,  78,  -231,  49, 74, 66, 100
L 114,  285,  126,  114,  294,  141, 132, 116, 86
L -392,  -32,  153,  -388,  -32,  188, 132, 116, 86
L 169,  -203,  36,  171,  -200,  38, 74, 66, 100
L -516,  581,  126,  -513,  581,  124, 100, 88, 118
L 58,  -524,  96,  58,  -524,  98, 100, 88, 118
L 541,  316,  153,  542,  316,  152, 132, 116, 86
L 0,  -58,  95,  0,  -58,  96, 100, 88, 118
L -156,  57,  105,  -154,  57,  105, 100, 88, 118
L -206,  562,  123,  -206,  567,  123, 100, 88, 118
L -463,  -45,  150,  -463,  -43,  150, 132, 116, 86
L -467,  324,  151,  -462,  316,  138, 132, 116, 86
L -236,  -420,  124,  -235,  -420,  120, 100, 88, 118
L 437,  587,  157,  438,  586,  154, 132, 116, 86
L 483,  -469,  119,  490,  -462,  119, 100, 88, 118
L -150,  100,  45,  -150,  100,  90, 100, 88, 118
L 160,  -399,  43,  161,  -399,  38, 74, 66, 100
L 248,  -531,  141,  249,  -531,  139, 132, 116, 86
L -165,  -105,  131,  -164,  -105,  124, 100, 88, 118
L -22,  -339,  38,  -21,  -339,  0, 74, 66, 100
L -167,  -428,  116,  -167,  -428,  124, 100, 88, 118
L 367,  -443,  126,  375,  -437,  141, 132, 116, 86
L -359,  -259,  124,  -358,  -258,  124, 100, 88, 118
L 298,  176,  38,  298,  181,  38, 74, 66, 100
L -250,  -158,  0,  -250,  -158,  38, 74, 66, 100
L 128,  -90,  143,  128,  -81,  153, 132, 116, 86
L -167,  -422,  126,  -163,  -423,  124, 100, 88, 118
L 512,  167,  151,  513,  164,  153, 132, 116, 86
L -373,  474,  131,  -373,  476,  136, 132, 116, 86
L 426,  -301,  149,  432,  -307,  144, 132, 116, 86
L 376,  103,  38,  376,  113,  38, 74, 66, 100
L -178,  380,  157,  -176,  378,  153, 132, 116, 86
L -148,  -203,  143,  -92,  -203,  98, 100, 88, 118
L 166,  474,  139,  170,  474,  124, 132, 116, 86
L 375,  57,  98,  375,  97,  98, 100, 88, 118
L -206,  152,  119,  -206,  152,  140, 100, 88, 118
L -125,  129,  20,  -121,  126,  20, 74, 66, 100
L -467,  334,  138,  -467,  334,  147, 132, 116, 86
L -182,  -123,  147,  -181,  -124,  146, 132, 116, 86
L 364,  412,  111,  365,  410,  108, 100, 88, 118
L 22,  454,  138,  28,  454,  147, 132, 116, 86
L 363,  409,  108,  375,  384,  119, 100, 88, 118
