P -509.81, -349.48, 0.0000, 120, 80, 40, 3, N
P -509.81, -170.28, 0.0000, 96, 70, 44, 1, S
P -420.21, -259.88, 0.0000, 96, 70, 44, 1, E
P -599.41, -259.88, 0.0000, 96, 70, 44, 1, W
L -420.00, -1481.41, 0.0000, -420.00, -323.88, 0.0000, 160, 150, 128
L -280.00, -1481.41, 0.0000, -280.00, -323.88, 0.0000, 160, 150, 128
L -140.00, -1481.41, 0.0000, -140.00, -323.88, 0.0000, 160, 150, 128
L 0.00, -1481.41, 0.0000, 0.00, -323.88, 0.0000, 160, 150, 128
L 140.00, -1481.41, 0.0000, 140.00, -323.88, 0.0000, 160, 150, 128
L 280.00, -1481.41, 0.0000, 280.00, -323.88, 0.0000, 160, 150, 128
L -445.81, -1260.00, 0.0000, 283.88, -1260.00, 0.0000, 160, 150, 128
L -445.81, -1120.00, 0.0000, 283.88, -1120.00, 0.0000, 160, 150, 128
L -445.81, -980.00, 0.0000, 283.88, -980.00, 0.0000, 160, 150, 128
L -445.81, -840.00, 0.0000, 283.88, -840.00, 0.0000, 160, 150, 128
L -445.81, -700.00, 0.0000, 283.88, -700.00, 0.0000, 160, 150, 128
L -445.81, -560.00, 0.0000, 283.88, -560.00, 0.0000, 160, 150, 128
L -445.81, -420.00, 0.0000, 283.88, -420.00, 0.0000, 160, 150, 128
L -445.81, -323.88, 0.0000, 283.88, -323.88, 0.0000, 160, 150, 128
L -445.81, -1481.41, 0.0000, -445.81, -323.88, 0.0000, 160, 150, 128
L 283.88, -1481.41, 0.0000, 283.88, -323.88, 0.0000, 160, 150, 128
L -630.81, -1666.41, 0.0000, -508.62, -1642.37, 0.0000, 96, 70, 44
L -508.62, -1642.37, 0.0000, -386.43, -1666.41, 0.0000, 96, 70, 44
L -386.43, -1666.41, 0.0000, -264.25, -1644.27, 0.0000, 96, 70, 44
L -264.25, -1644.27, 0.0000, -142.06, -1666.41, 0.0000, 96, 70, 44
L -142.06, -1666.41, 0.0000, -19.87, -1642.95, 0.0000, 96, 70, 44
L -19.87, -1642.95, 0.0000, 102.32, -1666.41, 0.0000, 96, 70, 44
L 102.32, -1666.41, 0.0000, 224.50, -1653.39, 0.0000, 96, 70, 44
L 224.50, -1653.39, 0.0000, 346.69, -1666.41, 0.0000, 96, 70, 44
L 346.69, -1666.41, 0.0000, 468.88, -1647.34, 0.0000, 96, 70, 44
L 468.88, -1666.41, 0.0000, 453.06, -1539.12, 0.0000, 96, 70, 44
L 453.06, -1539.12, 0.0000, 468.88, -1411.82, 0.0000, 96, 70, 44
L 468.88, -1411.82, 0.0000, 454.34, -1284.53, 0.0000, 96, 70, 44
L 454.34, -1284.53, 0.0000, 468.88, -1157.23, 0.0000, 96, 70, 44
L 468.88, -1157.23, 0.0000, 448.72, -1029.94, 0.0000, 96, 70, 44
L 448.72, -1029.94, 0.0000, 468.88, -902.64, 0.0000, 96, 70, 44
L 468.88, -902.64, 0.0000, 452.80, -775.35, 0.0000, 96, 70, 44
L 452.80, -775.35, 0.0000, 468.88, -648.06, 0.0000, 96, 70, 44
L 468.88, -648.06, 0.0000, 444.23, -520.76, 0.0000, 96, 70, 44
L 444.23, -520.76, 0.0000, 468.88, -393.47, 0.0000, 96, 70, 44
L 468.88, -393.47, 0.0000, 441.67, -266.17, 0.0000, 96, 70, 44
L 441.67, -266.17, 0.0000, 468.88, -138.88, 0.0000, 96, 70, 44
L 468.88, -138.88, 0.0000, 346.69, -164.05, 0.0000, 96, 70, 44
L 346.69, -164.05, 0.0000, 224.50, -138.88, 0.0000, 96, 70, 44
L 224.50, -138.88, 0.0000, 102.32, -150.46, 0.0000, 96, 70, 44
L 102.32, -150.46, 0.0000, -19.87, -138.88, 0.0000, 96, 70, 44
L -19.87, -138.88, 0.0000, -142.06, -167.92, 0.0000, 96, 70, 44
L -142.06, -167.92, 0.0000, -264.25, -138.88, 0.0000, 96, 70, 44
L -264.25, -138.88, 0.0000, -386.43, -165.94, 0.0000, 96, 70, 44
L -386.43, -165.94, 0.0000, -508.62, -138.88, 0.0000, 96, 70, 44
L -508.62, -138.88, 0.0000, -630.81, -165.23, 0.0000, 96, 70, 44
L -630.81, -138.88, 0.0000, -619.56, -266.17, 0.0000, 96, 70, 44
