P 1590.42, -1877.48, 0.0000, 95, 70, 45, 3, N
P 1590.42, -1519.08, 0.0000, 95, 70, 45, 1, S
P 1769.62, -1698.28, 0.0000, 95, 70, 45, 1, E
P 1411.22, -1698.28, 0.0000, 95, 70, 45, 1, W
L -4900.00, -2048.28, 0.0000, -4900.00, 906.97, 0.0000, 120, 120, 85
L -4200.00, -2048.28, 0.0000, -4200.00, 906.97, 0.0000, 120, 120, 85
L -3500.00, -2048.28, 0.0000, -3500.00, 906.97, 0.0000, 120, 120, 85
L -2800.00, -2048.28, 0.0000, -2800.00, 906.97, 0.0000, 120, 120, 85
L -2100.00, -2048.28, 0.0000, -2100.00, 906.97, 0.0000, 120, 120, 85
L -1400.00, -2048.28, 0.0000, -1400.00, 906.97, 0.0000, 120, 120, 85
L -700.00, -2048.28, 0.0000, -700.00, 906.97, 0.0000, 120, 120, 85
L 0.00, -2048.28, 0.0000, 0.00, 906.97, 0.0000, 120, 120, 85
L 700.00, -2048.28, 0.0000, 700.00, 906.97, 0.0000, 120, 120, 85
L -4983.67, -1400.00, 0.0000, 1160.34, -1400.00, 0.0000, 120, 120, 85
L -4983.67, -700.00, 0.0000, 1160.34, -700.00, 0.0000, 120, 120, 85
L -4983.67, 0.00, 0.0000, 1160.34, 0.00, 0.0000, 120, 120, 85
L -4983.67, 700.00, 0.0000, 1160.34, 700.00, 0.0000, 120, 120, 85
L -5843.83, -2908.44, 0.0000, -5743.00, -2847.77, 0.0000, 95, 70, 45
L -5743.00, -2847.77, 0.0000, -5642.18, -2908.44, 0.0000, 95, 70, 45
L -5642.18, -2908.44, 0.0000, -5541.36, -2871.40, 0.0000, 95, 70, 45
L -5541.36, -2871.40, 0.0000, -5440.53, -2908.44, 0.0000, 95, 70, 45
L -5440.53, -2908.44, 0.0000, -5339.71, -2871.06, 0.0000, 95, 70, 45
L -5339.71, -2871.06, 0.0000, -5238.88, -2908.44, 0.0000, 95, 70, 45
L -5238.88, -2908.44, 0.0000, -5138.06, -2877.12, 0.0000, 95, 70, 45
L -5138.06, -2877.12, 0.0000, -5037.23, -2908.44, 0.0000, 95, 70, 45
L -5037.23, -2908.44, 0.0000, -4936.41, -2864.19, 0.0000, 95, 70, 45
L -4936.41, -2864.19, 0.0000, -4835.58, -2908.44, 0.0000, 95, 70, 45
L -4835.58, -2908.44, 0.0000, -4734.76, -2868.04, 0.0000, 95, 70, 45
L -4734.76, -2868.04, 0.0000, -4633.93, -2908.44, 0.0000, 95, 70, 45
L -4633.93, -2908.44, 0.0000, -4533.11, -2859.62, 0.0000, 95, 70, 45
L -4533.11, -2859.62, 0.0000, -4432.28, -2908.44, 0.0000, 95, 70, 45
L -4432.28, -2908.44, 0.0000, -4331.46, -2853.81, 0.0000, 95, 70, 45
L -4331.46, -2853.81, 0.0000, -4230.63, -2908.44, 0.0000, 95, 70, 45
L -4230.63, -2908.44, 0.0000, -4129.81, -2860.89, 0.0000, 95, 70, 45
L -4129.81, -2860.89, 0.0000, -4028.98, -2908.44, 0.0000, 95, 70, 45
L -4028.98, -2908.44, 0.0000, -3928.16, -2864.44, 0.0000, 95, 70, 45
L -3928.16, -2864.44, 0.0000, -3827.33, -2908.44, 0.0000, 95, 70, 45
L -3827.33, -2908.44, 0.0000, -3726.51, -2875.67, 0.0000, 95, 70, 45
L -3726.51, -2875.67, 0.0000, -3625.69, -2908.44, 0.0000, 95, 70, 45
L -3625.69, -2908.44, 0.0000, -3524.86, -2883.22, 0.0000, 95, 70, 45
L -3524.86, -2883.22, 0.0000, -3424.04, -2908.44, 0.0000, 95, 70, 45
L -3424.04, -2908.44, 0.0000, -3323.21, -2851.21, 0.0000, 95, 70, 45
L -3323.21, -2851.21, 0.0000, -3222.39, -2908.44, 0.0000, 95, 70, 45
L -3222.39, -2908.44, 0.0000, -3121.56, -2875.69, 0.0000, 95, 70, 45
L -3121.56, -2875.69, 0.0000, -3020.74, -2908.44, 0.0000, 95, 70, 45
L -3020.74, -2908.44, 0.0000, -2919.91, -2844.38, 0.0000, 95, 70, 45
L -2919.91, -2844.38, 0.0000, -2819.09, -2908.44, 0.0000, 95, 70, 45
L -2819.09, -2908.44, 0.0000, -2718.26, -2858.19, 0.0000, 95, 70, 45
L -2718.26, -2858.19, 0.0000, -2617.44, -2908.44, 0.0000, 95, 70, 45
L -2617.44, -2908.44, 0.0000, -2516.61, -2873.95, 0.0000, 95, 70, 45
L -2516.61, -2873.95, 0.0000, -2415.79, -2908.44, 0.0000, 95, 70, 45
L -2415.79, -2908.44, 0.0000, -2314.96, -2867.55, 0.0000, 95, 70, 45
L -2314.96, -2867.55, 0.0000, -2214.14, -2908.44, 0.0000, 95, 70, 45
L -2214.14, -2908.44, 0.0000, -2113.31, -2842.41, 0.0000, 95, 70, 45
L -2113.31, -2842.41, 0.0000, -2012.49, -2908.44, 0.0000, 95, 70, 45
L -2012.49, -2908.44, 0.0000, -1911.66, -2858.91, 0.0000, 95, 70, 45
L -1911.66, -2858.91, 0.0000, -1810.84, -2908.44, 0.0000, 95, 70, 45
L -1810.84, -2908.44, 0.0000, -1710.01, -2852.45, 0.0000, 95, 70, 45
L -1710.01, -2852.45, 0.0000, -1609.19, -2908.44, 0.0000, 95, 70, 45
L -1609.19, -2908.44, 0.0000, -1508.37, -2845.13, 0.0000, 95, 70, 45
L -1508.37, -2845.13, 0.0000, -1407.54, -2908.44, 0.0000, 95, 70, 45
L -1407.54, -2908.44, 0.0000, -1306.72, -2873.87, 0.0000, 95, 70, 45
L -1306.72, -2873.87, 0.0000, -1205.89, -2908.44, 0.0000, 95, 70, 45
