P -3261.12, 1095.07, 0.0000, 96, 110, 60, 3, N
P -3261.12, 1485.79, 0.0000, 96, 110, 64, 1, S
P -3065.76, 1290.43, 0.0000, 96, 110, 64, 1, E
P -3456.48, 1290.43, 0.0000, 96, 110, 64, 1, W
L -2720.00, -4392.78, 0.0000, -2720.00, 994.43, 0.0000, 150, 150, 110
L -2040.00, -4392.78, 0.0000, -2040.00, 994.43, 0.0000, 150, 150, 110
L -1360.00, -4392.78, 0.0000, -1360.00, 994.43, 0.0000, 150, 150, 110
L -680.00, -4392.78, 0.0000, -680.00, 994.43, 0.0000, 150, 150, 110
L 0.00, -4392.78, 0.0000, 0.00, 994.43, 0.0000, 150, 150, 110
L 680.00, -4392.78, 0.0000, 680.00, 994.43, 0.0000, 150, 150, 110
L 1360.00, -4392.78, 0.0000, 1360.00, 994.43, 0.0000, 150, 150, 110
L 2040.00, -4392.78, 0.0000, 2040.00, 994.43, 0.0000, 150, 150, 110
L -2965.12, -3400.00, 0.0000, 2338.57, -3400.00, 0.0000, 150, 150, 110
L -2965.12, -2720.00, 0.0000, 2338.57, -2720.00, 0.0000, 150, 150, 110
L -2965.12, -2040.00, 0.0000, 2338.57, -2040.00, 0.0000, 150, 150, 110
L -2965.12, -1360.00, 0.0000, 2338.57, -1360.00, 0.0000, 150, 150, 110
L -2965.12, -680.00, 0.0000, 2338.57, -680.00, 0.0000, 150, 150, 110
L -2965.12, 0.00, 0.0000, 2338.57, 0.00, 0.0000, 150, 150, 110
L -2965.12, 680.00, 0.0000, 2338.57, 680.00, 0.0000, 150, 150, 110
L -2965.12, -4392.78, 0.0000, 2338.57, -4392.78, 0.0000, 150, 150, 110
L -2965.12, 994.43, 0.0000, 2338.57, 994.43, 0.0000, 150, 150, 110
L -2965.12, -4392.78, 0.0000, -2965.12, 994.43, 0.0000, 150, 150, 110
L 2338.57, -4392.78, 0.0000, 2338.57, 994.43, 0.0000, 150, 150, 110
L -3826.12, -5253.78, 0.0000, -3491.56, -5177.76, 0.0000, 96, 110, 64
L -3491.56, -5177.76, 0.0000, -3157.01, -5253.78, 0.0000, 96, 110, 64
L -3157.01, -5253.78, 0.0000, -2822.45, -5173.55, 0.0000, 96, 110, 64
L -2822.45, -5173.55, 0.0000, -2487.89, -5253.78, 0.0000, 96, 110, 64
L -2487.89, -5253.78, 0.0000, -2153.34, -5179.63, 0.0000, 96, 110, 64
L 1526.79, -5253.78, 0.0000, 1861.34, -5203.75, 0.0000, 96, 110, 64
L 1861.34, -5203.75, 0.0000, 2195.90, -5253.78, 0.0000, 96, 110, 64
L 2195.90, -5253.78, 0.0000, 2530.46, -5207.58, 0.0000, 96, 110, 64
L 2530.46, -5207.58, 0.0000, 2865.01, -5253.78, 0.0000, 96, 110, 64
L 2865.01, -5253.78, 0.0000, 3199.57, -5181.42, 0.0000, 96, 110, 64
L 3199.57, -5253.78, 0.0000, 3101.19, -4930.63, 0.0000, 96, 110, 64
L 3101.19, -4930.63, 0.0000, 3199.57, -4607.49, 0.0000, 96, 110, 64
L 3199.57, -4607.49, 0.0000, 3135.35, -4284.34, 0.0000, 96, 110, 64
L 3135.35, -4284.34, 0.0000, 3199.57, -3961.20, 0.0000, 96, 110, 64
L 3199.57, -3961.20, 0.0000, 3156.63, -3638.05, 0.0000, 96, 110, 64
L 3156.63, -3638.05, 0.0000, 3199.57, -3314.90, 0.0000, 96, 110, 64
L 3199.57, -3314.90, 0.0000, 3124.02, -2991.76, 0.0000, 96, 110, 64
L 3124.02, -2991.76, 0.0000, 3199.57, -2668.61, 0.0000, 96, 110, 64
L 3199.57, -2668.61, 0.0000, 3104.41, -2345.47, 0.0000, 96, 110, 64
L 3104.41, -2345.47, 0.0000, 3199.57, -2022.32, 0.0000, 96, 110, 64
L 3199.57, -2022.32, 0.0000, 3097.49, -1699.17, 0.0000, 96, 110, 64
L 3097.49, -1699.17, 0.0000, 3199.57, -1376.03, 0.0000, 96, 110, 64
L 3199.57, -1376.03, 0.0000, 3135.33, -1052.88, 0.0000, 96, 110, 64
L 3135.33, -1052.88, 0.0000, 3199.57, -729.74, 0.0000, 96, 110, 64
L 3199.57, -729.74, 0.0000, 3161.76, -406.59, 0.0000, 96, 110, 64
L 3161.76, -406.59, 0.0000, 3199.57, -83.45, 0.0000, 96, 110, 64
L 3199.57, -83.45, 0.0000, 3154.08, 239.70, 0.0000, 96, 110, 64
L 3154.08, 239.70, 0.0000, 3199.57, 562.85, 0.0000, 96, 110, 64
L 3199.57, 562.85, 0.0000, 3150.77, 885.99, 0.0000, 96, 110, 64
L 3150.77, 885.99, 0.0000, 3199.57, 1209.14, 0.0000, 96, 110, 64
L 3199.57, 1209.14, 0.0000, 3160.27, 1532.28, 0.0000, 96, 110, 64
L 3160.27, 1532.28, 0.0000, 3199.57, 1855.43, 0.0000, 96, 110, 64
L 3199.57, 1855.43, 0.0000, 2865.01, 1750.65, 0.0000, 96, 110, 64
L 2865.01, 1750.65, 0.0000, 2530.46, 1855.43, 0.0000, 96, 110, 64
L 2530.46, 1855.43, 0.0000, 2195.90, 1771.44, 0.0000, 96, 110, 64
L 2195.90, 1771.44, 0.0000, 1861.34, 1855.43, 0.0000, 96, 110, 64
L 1861.34, 1855.43, 0.0000, 1526.79, 1800.16, 0.0000, 96, 110, 64
L 1526.79, 1800.16, 0.0000, 1192.23, 1855.43, 0.0000, 96, 110, 64
L 1192.23, 1855.43, 0.0000, 857.67, 1814.94, 0.0000, 96, 110, 64
L 857.67, 1814.94, 0.0000, 523.12, 1855.43, 0.0000, 96, 110, 64
L 523.12, 1855.43, 0.0000, 188.56, 1807.84, 0.0000, 96, 110, 64
L 188.56, 1807.84, 0.0000, -146.00, 1855.43, 0.0000, 96, 110, 64
L -146.00, 1855.43, 0.0000, -480.55, 1772.52, 0.0000, 96, 110, 64
L -480.55, 1772.52, 0.0000, -815.11, 1855.43, 0.0000, 96, 110, 64
L -815.11, 1855.43, 0.0000, -1149.67, 1771.65, 0.0000, 96, 110, 64
L -1149.67, 1771.65, 0.0000, -1484.22, 1855.43, 0.0000, 96, 110, 64
L -1484.22, 1855.43, 0.0000, -1818.78, 1817.94, 0.0000, 96, 110, 64
L -1818.78, 1817.94, 0.0000, -2153.34, 1855.43, 0.0000, 96, 110, 64
