P -2610.7199, -1504.3499, 0.0000, 58, 48, 36, 3, N
P -2610.7199, -1233.7499, 0.0000, 58, 48, 36, 1, S
P -2475.4199, -1369.0499, 0.0000, 58, 48, 36, 1, E
P -2746.0199, -1369.0499, 0.0000, 58, 48, 36, 1, W
L -3920.00, -2208.00, 0.0000, -3920.00, 1182.00, 0.0000, 150, 150, 140
L -3360.00, -2208.00, 0.0000, -3360.00, 1182.00, 0.0000, 150, 150, 140
L -2800.00, -2208.00, 0.0000, -2800.00, 1182.00, 0.0000, 150, 150, 140
L -2240.00, -2208.00, 0.0000, -2240.00, 1182.00, 0.0000, 150, 150, 140
L -1680.00, -2208.00, 0.0000, -1680.00, 1182.00, 0.0000, 150, 150, 140
L -1120.00, -2208.00, 0.0000, -1120.00, 1182.00, 0.0000, 150, 150, 140
L -560.00, -2208.00, 0.0000, -560.00, 1182.00, 0.0000, 150, 150, 140
L 0.00, -2208.00, 0.0000, 0.00, 1182.00, 0.0000, 150, 150, 140
L 560.00, -2208.00, 0.0000, 560.00, 1182.00, 0.0000, 150, 150, 140
L 1120.00, -2208.00, 0.0000, 1120.00, 1182.00, 0.0000, 150, 150, 140
L 1680.00, -2208.00, 0.0000, 1680.00, 1182.00, 0.0000, 150, 150, 140
L -3937.00, -1680.00, 0.0000, 2222.00, -1680.00, 0.0000, 150, 150, 140
L -3937.00, -1120.00, 0.0000, 2222.00, -1120.00, 0.0000, 150, 150, 140
L -3937.00, -560.00, 0.0000, 2222.00, -560.00, 0.0000, 150, 150, 140
L -3937.00, 0.00, 0.0000, 2222.00, 0.00, 0.0000, 150, 150, 140
L -3937.00, 560.00, 0.0000, 2222.00, 560.00, 0.0000, 150, 150, 140
L -3937.00, 1120.00, 0.0000, 2222.00, 1120.00, 0.0000, 150, 150, 140
L -3937.00, 1182.00, 0.0000, 2222.00, 1182.00, 0.0000, 150, 150, 140
L -3937.00, -2208.00, 0.0000, -3937.00, 1182.00, 0.0000, 150, 150, 140
L 2222.00, -2208.00, 0.0000, 2222.00, 1182.00, 0.0000, 150, 150, 140
L 2742.0000, -1685.6500, 0.0000, 2695.0300, -1425.0600, 0.0000, 58, 48, 36
L 2695.0300, -1425.0600, 0.0000, 2742.0000, -1164.4700, 0.0000, 58, 48, 36
L 2742.0000, -1164.4700, 0.0000, 2676.5800, -903.8800, 0.0000, 58, 48, 36
L 2676.5800, -903.8800, 0.0000, 2742.0000, -643.2900, 0.0000, 58, 48, 36
L 2742.0000, -643.2900, 0.0000, 2716.8000, -382.7100, 0.0000, 58, 48, 36
L 2716.8000, -382.7100, 0.0000, 2742.0000, -122.1200, 0.0000, 58, 48, 36
L 2742.0000, -122.1200, 0.0000, 2707.4100, 138.4700, 0.0000, 58, 48, 36
L 2707.4100, 138.4700, 0.0000, 2742.0000, 399.0600, 0.0000, 58, 48, 36
L 2742.0000, 399.0600, 0.0000, 2693.3300, 659.6500, 0.0000, 58, 48, 36
L 2693.3300, 659.6500, 0.0000, 2742.0000, 920.2400, 0.0000, 58, 48, 36
L 2742.0000, 920.2400, 0.0000, 2690.1600, 1180.8200, 0.0000, 58, 48, 36
L 2690.1600, 1180.8200, 0.0000, 2742.0000, 1441.4100, 0.0000, 58, 48, 36
L 2742.0000, 1441.4100, 0.0000, 2707.9200, 1702.0000, 0.0000, 58, 48, 36
L 2742.0000, 1702.0000, 0.0000, 2475.3700, 1632.3600, 0.0000, 58, 48, 36
L 2475.3700, 1632.3600, 0.0000, 2208.7400, 1702.0000, 0.0000, 58, 48, 36
L 2208.7400, 1702.0000, 0.0000, 1942.1100, 1654.7700, 0.0000, 58, 48, 36
L 1942.1100, 1654.7700, 0.0000, 1675.4800, 1702.0000, 0.0000, 58, 48, 36
L 1675.4800, 1702.0000, 0.0000, 1408.8500, 1677.0700, 0.0000, 58, 48, 36
L 1408.8500, 1677.0700, 0.0000, 1142.2200, 1702.0000, 0.0000, 58, 48, 36
L 1142.2200, 1702.0000, 0.0000, 875.5900, 1666.3600, 0.0000, 58, 48, 36
L 875.5900, 1666.3600, 0.0000, 608.9600, 1702.0000, 0.0000, 58, 48, 36
L 608.9600, 1702.0000, 0.0000, 342.3300, 1655.5800, 0.0000, 58, 48, 36
L 342.3300, 1655.5800, 0.0000, 75.7000, 1702.0000, 0.0000, 58, 48, 36
L 75.7000, 1702.0000, 0.0000, -190.9300, 1659.3900, 0.0000, 58, 48, 36
L -190.9300, 1659.3900, 0.0000, -457.5600, 1702.0000, 0.0000, 58, 48, 36
L -457.5600, 1702.0000, 0.0000, -724.1900, 1658.3900, 0.0000, 58, 48, 36
L -724.1900, 1658.3900, 0.0000, -990.8100, 1702.0000, 0.0000, 58, 48, 36
L -990.8100, 1702.0000, 0.0000, -1257.4400, 1658.8400, 0.0000, 58, 48, 36
L -1257.4400, 1658.8400, 0.0000, -1524.0700, 1702.0000, 0.0000, 58, 48, 36
L -1524.0700, 1702.0000, 0.0000, -1790.7000, 1637.2100, 0.0000, 58, 48, 36
L -1790.7000, 1637.2100, 0.0000, -2057.3300, 1702.0000, 0.0000, 58, 48, 36
L -2057.3300, 1702.0000, 0.0000, -2323.9600, 1638.1700, 0.0000, 58, 48, 36
L -2323.9600, 1638.1700, 0.0000, -2590.5900, 1702.0000, 0.0000, 58, 48, 36
L -2590.5900, 1702.0000, 0.0000, -2857.2200, 1648.7000, 0.0000, 58, 48, 36
L -2857.2200, 1648.7000, 0.0000, -3123.8500, 1702.0000, 0.0000, 58, 48, 36
L -3123.8500, 1702.0000, 0.0000, -3390.4800, 1676.1100, 0.0000, 58, 48, 36
L -3390.4800, 1676.1100, 0.0000, -3657.1100, 1702.0000, 0.0000, 58, 48, 36
L -3657.1100, 1702.0000, 0.0000, -3923.7400, 1659.1200, 0.0000, 58, 48, 36
L -3923.7400, 1659.1200, 0.0000, -4190.3700, 1702.0000, 0.0000, 58, 48, 36
L -4190.3700, 1702.0000, 0.0000, -4457.0000, 1644.5600, 0.0000, 58, 48, 36
L -4457.0000, 1702.0000, 0.0000, -4400.6100, 1441.4100, 0.0000, 58, 48, 36
L -4400.6100, 1441.4100, 0.0000, -4457.0000, 1180.8200, 0.0000, 58, 48, 36
L -4457.0000, 1180.8200, 0.0000, -4402.7200, 920.2400, 0.0000, 58, 48, 36
L -4402.7200, 920.2400, 0.0000, -4457.0000, 659.6500, 0.0000, 58, 48, 36
L -4457.0000, 659.6500, 0.0000, -4408.7000, 399.0600, 0.0000, 58, 48, 36
L -4408.7000, 399.0600, 0.0000, -4457.0000, 138.4700, 0.0000, 58, 48, 36
L -4457.0000, 138.4700, 0.0000, -4430.6400, -122.1200, 0.0000, 58, 48, 36
L -4430.6400, -122.1200, 0.0000, -4457.0000, -382.7100, 0.0000, 58, 48, 36
L -4457.0000, -382.7100, 0.0000, -4390.9800, -643.2900, 0.0000, 58, 48, 36
L -4390.9800, -643.2900, 0.0000, -4457.0000, -903.8800, 0.0000, 58, 48, 36
L -4457.0000, -903.8800, 0.0000, -4423.2000, -1164.4700, 0.0000, 58, 48, 36
L -4423.2000, -1164.4700, 0.0000, -4457.0000, -1425.0600, 0.0000, 58, 48, 36
L -4457.0000, -1425.0600, 0.0000, -4403.1300, -1685.6500, 0.0000, 58, 48, 36
L 2632.0000, -1916.3300, 0.0000, 2608.5500, -1565.5000, 0.0000, 90, 74, 50
L 2608.5500, -1565.5000, 0.0000, 2632.0000, -1214.6700, 0.0000, 90, 74, 50
L 2632.0000, -1214.6700, 0.0000, 2597.2400, -863.8300, 0.0000, 90, 74, 50
L 2597.2400, -863.8300, 0.0000, 2632.0000, -513.0000, 0.0000, 90, 74, 50
L 2632.0000, -513.0000, 0.0000, 2595.6300, -162.1700, 0.0000, 90, 74, 50
L 2595.6300, -162.1700, 0.0000, 2632.0000, 188.6700, 0.0000, 90, 74, 50
L 2632.0000, 188.6700, 0.0000, 2596.0800, 539.5000, 0.0000, 90, 74, 50
L 2596.0800, 539.5000, 0.0000, 2632.0000, 890.3300, 0.0000, 90, 74, 50
L 2632.0000, 890.3300, 0.0000, 2606.8700, 1241.1700, 0.0000, 90, 74, 50
L 2606.8700, 1241.1700, 0.0000, 2632.0000, 1592.0000, 0.0000, 90, 74, 50
L 2632.0000, 1592.0000, 0.0000, 2283.0500, 1563.9900, 0.0000, 90, 74, 50
L 2283.0500, 1563.9900, 0.0000, 1934.1000, 1592.0000, 0.0000, 90, 74, 50
L 1934.1000, 1592.0000, 0.0000, 1585.1500, 1575.1900, 0.0000, 90, 74, 50
L 1585.1500, 1575.1900, 0.0000, 1236.2000, 1592.0000, 0.0000, 90, 74, 50
L 1236.2000, 1592.0000, 0.0000, 887.2500, 1557.5600, 0.0000, 90, 74, 50
L 887.2500, 1557.5600, 0.0000, 538.3000, 1592.0000, 0.0000, 90, 74, 50
L 538.3000, 1592.0000, 0.0000, 189.3500, 1563.3900, 0.0000, 90, 74, 50
L 189.3500, 1563.3900, 0.0000, -159.6000, 1592.0000, 0.0000, 90, 74, 50
L -159.6000, 1592.0000, 0.0000, -508.5500, 1560.0300, 0.0000, 90, 74, 50
L -508.5500, 1560.0300, 0.0000, -857.5000, 1592.0000, 0.0000, 90, 74, 50
L -857.5000, 1592.0000, 0.0000, -1206.4500, 1571.2800, 0.0000, 90, 74, 50
L -1206.4500, 1571.2800, 0.0000, -1555.4000, 1592.0000, 0.0000, 90, 74, 50
L -1555.4000, 1592.0000, 0.0000, -1904.3500, 1570.2100, 0.0000, 90, 74, 50
L -1904.3500, 1570.2100, 0.0000, -2253.3000, 1592.0000, 0.0000, 90, 74, 50
L -2253.3000, 1592.0000, 0.0000, -2602.2500, 1571.2600, 0.0000, 90, 74, 50
L -2602.2500, 1571.2600, 0.0000, -2951.2000, 1592.0000, 0.0000, 90, 74, 50
L -2951.2000, 1592.0000, 0.0000, -3300.1500, 1568.4400, 0.0000, 90, 74, 50
L -3300.1500, 1568.4400, 0.0000, -3649.1000, 1592.0000, 0.0000, 90, 74, 50
L -3649.1000, 1592.0000, 0.0000, -3998.0500, 1560.6000, 0.0000, 90, 74, 50
L -3998.0500, 1560.6000, 0.0000, -4347.0000, 1592.0000, 0.0000, 90, 74, 50
L -4347.0000, 1592.0000, 0.0000, -4318.3900, 1241.1700, 0.0000, 90, 74, 50
L -4318.3900, 1241.1700, 0.0000, -4347.0000, 890.3300, 0.0000, 90, 74, 50
L -4347.0000, 890.3300, 0.0000, -4329.5700, 539.5000, 0.0000, 90, 74, 50
L -4329.5700, 539.5000, 0.0000, -4347.0000, 188.6700, 0.0000, 90, 74, 50
L -4347.0000, 188.6700, 0.0000, -4329.7400, -162.1700, 0.0000, 90, 74, 50
L -4329.7400, -162.1700, 0.0000, -4347.0000, -513.0000, 0.0000, 90, 74, 50
L -4347.0000, -513.0000, 0.0000, -4318.4600, -863.8300, 0.0000, 90, 74, 50
L -4318.4600, -863.8300, 0.0000, -4347.0000, -1214.6700, 0.0000, 90, 74, 50
L -4347.0000, -1214.6700, 0.0000, -4332.2000, -1565.5000, 0.0000, 90, 74, 50
L -4332.2000, -1565.5000, 0.0000, -4347.0000, -1916.3300, 0.0000, 90, 74, 50
L -4257.0000, 1462.0000, 0.0000, -4277.0000, 1494.0000, 0.0000, 90, 60, 34
