P -662.7100, 430.3608, 0.0000, 96, 62, 124, 3, N
P -662.7100, 528.7592, 0.0000, 56, 52, 76, 1, S
P -613.5108, 479.5600, 0.0000, 56, 52, 76, 1, E
P -711.9092, 479.5600, 0.0000, 56, 52, 76, 1, W
L -600.00, -279.88, 0.0000, -600.00, 447.81, 0.0000, 120, 120, 142
L -480.00, -279.88, 0.0000, -480.00, 447.81, 0.0000, 120, 120, 142
L -360.00, -279.88, 0.0000, -360.00, 447.81, 0.0000, 120, 120, 142
L -240.00, -279.88, 0.0000, -240.00, 447.81, 0.0000, 120, 120, 142
L -120.00, -279.88, 0.0000, -120.00, 447.81, 0.0000, 120, 120, 142
L 0.00, -279.88, 0.0000, 0.00, 447.81, 0.0000, 120, 120, 142
L 120.00, -279.88, 0.0000, 120.00, 447.81, 0.0000, 120, 120, 142
L -615.75, -120.00, 0.0000, 195.91, -120.00, 0.0000, 120, 120, 142
L -615.75, 0.00, 0.0000, 195.91, 0.00, 0.0000, 120, 120, 142
L -615.75, 120.00, 0.0000, 195.91, 120.00, 0.0000, 120, 120, 142
L -615.75, 240.00, 0.0000, 195.91, 240.00, 0.0000, 120, 120, 142
L -615.75, 360.00, 0.0000, 195.91, 360.00, 0.0000, 120, 120, 142
L -615.75, 447.81, 0.0000, 195.91, 447.81, 0.0000, 120, 120, 142
L -615.75, -279.88, 0.0000, -615.75, 447.81, 0.0000, 120, 120, 142
L 195.91, -279.88, 0.0000, 195.91, 447.81, 0.0000, 120, 120, 142
L 345.91, -172.96, 0.0000, 332.50, -44.50, 0.0000, 56, 52, 76
L 332.50, -44.50, 0.0000, 345.91, 83.97, 0.0000, 56, 52, 76
L 345.91, 83.97, 0.0000, 320.61, 212.43, 0.0000, 56, 52, 76
L 320.61, 212.43, 0.0000, 345.91, 340.89, 0.0000, 56, 52, 76
L 345.91, 340.89, 0.0000, 334.38, 469.35, 0.0000, 56, 52, 76
L 334.38, 469.35, 0.0000, 345.91, 597.81, 0.0000, 56, 52, 76
L 345.91, 597.81, 0.0000, 222.39, 582.10, 0.0000, 56, 52, 76
L 222.39, 582.10, 0.0000, 98.87, 597.81, 0.0000, 56, 52, 76
L 98.87, 597.81, 0.0000, -24.64, 573.71, 0.0000, 56, 52, 76
L -24.64, 573.71, 0.0000, -148.16, 597.81, 0.0000, 56, 52, 76
L -148.16, 597.81, 0.0000, -271.68, 584.44, 0.0000, 56, 52, 76
L -271.68, 584.44, 0.0000, -395.20, 597.81, 0.0000, 56, 52, 76
L -395.20, 597.81, 0.0000, -518.71, 586.22, 0.0000, 56, 52, 76
L -518.71, 586.22, 0.0000, -642.23, 597.81, 0.0000, 56, 52, 76
L -642.23, 597.81, 0.0000, -765.75, 572.29, 0.0000, 56, 52, 76
L -765.75, 597.81, 0.0000, -739.16, 469.35, 0.0000, 56, 52, 76
L -739.16, 469.35, 0.0000, -765.75, 340.89, 0.0000, 56, 52, 76
L -765.75, 340.89, 0.0000, -743.54, 212.43, 0.0000, 56, 52, 76
L -743.54, 212.43, 0.0000, -765.75, 83.96, 0.0000, 56, 52, 76
L -765.75, 83.96, 0.0000, -747.60, -44.50, 0.0000, 56, 52, 76
L -747.60, -44.50, 0.0000, -765.75, -172.96, 0.0000, 56, 52, 76
L 295.63, -231.93, 0.0000, 305.91, -73.98, 0.0000, 150, 92, 178
L 305.91, -73.98, 0.0000, 296.34, 83.96, 0.0000, 150, 92, 178
L 296.34, 83.96, 0.0000, 305.91, 241.91, 0.0000, 150, 92, 178
L 305.91, 241.91, 0.0000, 293.22, 399.86, 0.0000, 150, 92, 178
