P 2932.44, -1161.29, 0.0000, 95, 70, 45, 3, N
P 2932.44, -674.89, 0.0000, 95, 70, 45, 1, S
P 3175.64, -918.09, 0.0000, 95, 70, 45, 1, E
P 2689.24, -918.09, 0.0000, 95, 70, 45, 1, W
L -1500.00, -1168.09, 0.0000, -1500.00, 1180.41, 0.0000, 120, 120, 85
L -1000.00, -1168.09, 0.0000, -1000.00, 1180.41, 0.0000, 120, 120, 85
L -500.00, -1168.09, 0.0000, -500.00, 1180.41, 0.0000, 120, 120, 85
L 0.00, -1168.09, 0.0000, 0.00, 1180.41, 0.0000, 120, 120, 85
L 500.00, -1168.09, 0.0000, 500.00, 1180.41, 0.0000, 120, 120, 85
L 1000.00, -1168.09, 0.0000, 1000.00, 1180.41, 0.0000, 120, 120, 85
L 1500.00, -1168.09, 0.0000, 1500.00, 1180.41, 0.0000, 120, 120, 85
L 2000.00, -1168.09, 0.0000, 2000.00, 1180.41, 0.0000, 120, 120, 85
L 2500.00, -1168.09, 0.0000, 2500.00, 1180.41, 0.0000, 120, 120, 85
L -1500.91, -500.00, 0.0000, 2642.41, -500.00, 0.0000, 120, 120, 85
L -1500.91, 0.00, 0.0000, 2642.41, 0.00, 0.0000, 120, 120, 85
L -1500.91, 500.00, 0.0000, 2642.41, 500.00, 0.0000, 120, 120, 85
L -1500.91, 1000.00, 0.0000, 2642.41, 1000.00, 0.0000, 120, 120, 85
L -2080.97, -1748.15, 0.0000, -1980.91, -1712.51, 0.0000, 95, 70, 45
L -1980.91, -1712.51, 0.0000, -1880.84, -1748.15, 0.0000, 95, 70, 45
L -1880.84, -1748.15, 0.0000, -1780.78, -1699.65, 0.0000, 95, 70, 45
L -1780.78, -1699.65, 0.0000, -1680.71, -1748.15, 0.0000, 95, 70, 45
L -1680.71, -1748.15, 0.0000, -1580.65, -1692.92, 0.0000, 95, 70, 45
L -1580.65, -1692.92, 0.0000, -1480.58, -1748.15, 0.0000, 95, 70, 45
L -1480.58, -1748.15, 0.0000, -1380.52, -1681.91, 0.0000, 95, 70, 45
L -1380.52, -1681.91, 0.0000, -1280.45, -1748.15, 0.0000, 95, 70, 45
L -1280.45, -1748.15, 0.0000, -1180.39, -1718.02, 0.0000, 95, 70, 45
L -1180.39, -1718.02, 0.0000, -1080.32, -1748.15, 0.0000, 95, 70, 45
L -1080.32, -1748.15, 0.0000, -980.26, -1705.23, 0.0000, 95, 70, 45
L -980.26, -1705.23, 0.0000, -880.19, -1748.15, 0.0000, 95, 70, 45
L -880.19, -1748.15, 0.0000, -780.13, -1699.67, 0.0000, 95, 70, 45
L -780.13, -1699.67, 0.0000, -680.06, -1748.15, 0.0000, 95, 70, 45
L -680.06, -1748.15, 0.0000, -580.00, -1691.33, 0.0000, 95, 70, 45
L -580.00, -1691.33, 0.0000, -479.93, -1748.15, 0.0000, 95, 70, 45
L -479.93, -1748.15, 0.0000, -379.87, -1715.82, 0.0000, 95, 70, 45
L -379.87, -1715.82, 0.0000, -279.80, -1748.15, 0.0000, 95, 70, 45
L -279.80, -1748.15, 0.0000, -179.74, -1700.25, 0.0000, 95, 70, 45
L -179.74, -1700.25, 0.0000, -79.67, -1748.15, 0.0000, 95, 70, 45
L -79.67, -1748.15, 0.0000, 20.39, -1690.57, 0.0000, 95, 70, 45
L 20.39, -1690.57, 0.0000, 120.46, -1748.15, 0.0000, 95, 70, 45
L 120.46, -1748.15, 0.0000, 220.52, -1690.49, 0.0000, 95, 70, 45
L 220.52, -1690.49, 0.0000, 320.59, -1748.15, 0.0000, 95, 70, 45
L 320.59, -1748.15, 0.0000, 420.65, -1715.54, 0.0000, 95, 70, 45
L 420.65, -1715.54, 0.0000, 520.72, -1748.15, 0.0000, 95, 70, 45
