P -796.1307, 497.0060, -2.0000, 150, 90, 150, 3, COLLONRIDGE_CEMETERY
L -933.4310, 698.7638, -2.0000, -933.4310, 657.4826, -2.0000, 150, 90, 150
L -874.4577, 698.7638, -2.0000, -874.4577, 657.4826, -2.0000, 150, 90, 150
L -933.4310, 657.4826, -2.0000, -874.4577, 657.4826, -2.0000, 150, 90, 150
L -921.6363, 678.1232, -2.0000, -886.2524, 678.1232, -2.0000, 150, 90, 150
L -747.8391, 354.7723, -2.0000, -747.8391, 313.4911, -2.0000, 150, 90, 150
L -688.8658, 354.7723, -2.0000, -688.8658, 313.4911, -2.0000, 150, 90, 150
L -747.8391, 313.4911, -2.0000, -688.8658, 313.4911, -2.0000, 150, 90, 150
L -736.0444, 334.1317, -2.0000, -700.6605, 334.1317, -2.0000, 150, 90, 150
L -826.9633, 467.6750, -2.0000, -826.9633, 426.3937, -2.0000, 150, 90, 150
L -767.9901, 467.6750, -2.0000, -767.9901, 426.3937, -2.0000, 150, 90, 150
L -826.9633, 426.3937, -2.0000, -767.9901, 426.3937, -2.0000, 150, 90, 150
L -815.1687, 447.0343, -2.0000, -779.7848, 447.0343, -2.0000, 150, 90, 150
L -780.9177, 664.6702, -2.0000, -780.9177, 623.3889, -2.0000, 150, 90, 150
L -721.9444, 664.6702, -2.0000, -721.9444, 623.3889, -2.0000, 150, 90, 150
L -780.9177, 623.3889, -2.0000, -721.9444, 623.3889, -2.0000, 150, 90, 150
L -769.1230, 644.0296, -2.0000, -733.7391, 644.0296, -2.0000, 150, 90, 150
L -945.3744, 223.1131, -2.0000, -945.3744, 181.8318, -2.0000, 150, 90, 150
L -886.4012, 223.1131, -2.0000, -886.4012, 181.8318, -2.0000, 150, 90, 150
L -945.3744, 181.8318, -2.0000, -886.4012, 181.8318, -2.0000, 150, 90, 150
L -933.5798, 202.4725, -2.0000, -898.1958, 202.4725, -2.0000, 150, 90, 150
L -726.6115, 457.9632, -2.0000, -726.6115, 416.6819, -2.0000, 150, 90, 150
L -667.6383, 457.9632, -2.0000, -667.6383, 416.6819, -2.0000, 150, 90, 150
L -726.6115, 416.6819, -2.0000, -667.6383, 416.6819, -2.0000, 150, 90, 150
L -714.8169, 437.3225, -2.0000, -679.4329, 437.3225, -2.0000, 150, 90, 150
L -152.8391, -1465.2627, 0.0000, -48.8391, -1361.2627, 0.0000, 150, 90, 150
L -48.8391, -1361.2627, 0.0000, -152.8391, -1257.2627, 0.0000, 150, 90, 150
L -152.8391, -1257.2627, 0.0000, -256.8391, -1361.2627, 0.0000, 150, 90, 150
L -256.8391, -1361.2627, 0.0000, -152.8391, -1465.2627, 0.0000, 150, 90, 150
L -204.8391, -1215.6627, 0.0000, -100.8391, -1215.6627, 0.0000, 150, 90, 150
P 13.5609, -1361.2627, 0.0000, 150, 90, 150, 3, Collinridge_Cemetery
L 285.0455, 393.0060, 0.0000, 389.0455, 497.0060, 0.0000, 150, 90, 150
L 389.0455, 497.0060, 0.0000, 285.0455, 601.0060, 0.0000, 150, 90, 150
L 285.0455, 601.0060, 0.0000, 181.0455, 497.0060, 0.0000, 150, 90, 150
L 181.0455, 497.0060, 0.0000, 285.0455, 393.0060, 0.0000, 150, 90, 150
L 233.0455, 642.6060, 0.0000, 337.0455, 642.6060, 0.0000, 150, 90, 150
P 451.4455, 497.0060, 0.0000, 150, 90, 150, 3, Thedruk
