P -3477.72, 2429.00, 0.0000, 150, 116, 58, 3, N
P -3477.72, 2900.90, 0.0000, 150, 120, 66, 1, S
P -3241.77, 2664.95, 0.0000, 150, 120, 66, 1, E
P -3713.67, 2664.95, 0.0000, 150, 120, 66, 1, W
L -2460.00, -4188.62, 0.0000, -2460.00, 2307.45, 0.0000, 180, 160, 110
L -1640.00, -4188.62, 0.0000, -1640.00, 2307.45, 0.0000, 180, 160, 110
L -820.00, -4188.62, 0.0000, -820.00, 2307.45, 0.0000, 180, 160, 110
L 0.00, -4188.62, 0.0000, 0.00, 2307.45, 0.0000, 180, 160, 110
L 820.00, -4188.62, 0.0000, 820.00, 2307.45, 0.0000, 180, 160, 110
L -3120.22, -4100.00, 0.0000, 1155.38, -4100.00, 0.0000, 180, 160, 110
L -3120.22, -3280.00, 0.0000, 1155.38, -3280.00, 0.0000, 180, 160, 110
L -3120.22, -2460.00, 0.0000, 1155.38, -2460.00, 0.0000, 180, 160, 110
L -3120.22, -1640.00, 0.0000, 1155.38, -1640.00, 0.0000, 180, 160, 110
L -3120.22, -820.00, 0.0000, 1155.38, -820.00, 0.0000, 180, 160, 110
L -3120.22, 0.00, 0.0000, 1155.38, 0.00, 0.0000, 180, 160, 110
L -3120.22, 820.00, 0.0000, 1155.38, 820.00, 0.0000, 180, 160, 110
L -3120.22, 1640.00, 0.0000, 1155.38, 1640.00, 0.0000, 180, 160, 110
L -3120.22, -4188.62, 0.0000, 1155.38, -4188.62, 0.0000, 180, 160, 110
L -3120.22, 2307.45, 0.0000, 1155.38, 2307.45, 0.0000, 180, 160, 110
L -3120.22, -4188.62, 0.0000, -3120.22, 2307.45, 0.0000, 180, 160, 110
L 1155.38, -4188.62, 0.0000, 1155.38, 2307.45, 0.0000, 180, 160, 110
L -4159.22, -5227.62, 0.0000, -3762.12, -5140.29, 0.0000, 150, 120, 66
L 1797.28, -5169.08, 0.0000, 2194.38, -5227.62, 0.0000, 150, 120, 66
L 2194.38, -5227.62, 0.0000, 2097.48, -4837.89, 0.0000, 150, 120, 66
L 2097.48, -4837.89, 0.0000, 2194.38, -4448.16, 0.0000, 150, 120, 66
