P 292.2700, -1059.5800, 0.0000, 150, 110, 50, 3, N
P 292.2700, -880.3800, 0.0000, 120, 96, 54, 1, S
P 381.8700, -969.9800, 0.0000, 120, 96, 54, 1, E
P 202.6700, -969.9800, 0.0000, 120, 96, 54, 1, W
L -1000.00, -908.62, 0.0000, -1000.00, 521.78, 0.0000, 186, 172, 140
L -800.00, -908.62, 0.0000, -800.00, 521.78, 0.0000, 186, 172, 140
L -600.00, -908.62, 0.0000, -600.00, 521.78, 0.0000, 186, 172, 140
L -400.00, -908.62, 0.0000, -400.00, 521.78, 0.0000, 186, 172, 140
L -200.00, -908.62, 0.0000, -200.00, 521.78, 0.0000, 186, 172, 140
L 0.00, -908.62, 0.0000, 0.00, 521.78, 0.0000, 186, 172, 140
L 200.00, -908.62, 0.0000, 200.00, 521.78, 0.0000, 186, 172, 140
L 400.00, -908.62, 0.0000, 400.00, 521.78, 0.0000, 186, 172, 140
L -1178.53, -600.00, 0.0000, 412.84, -600.00, 0.0000, 186, 172, 140
L -1178.53, -400.00, 0.0000, 412.84, -400.00, 0.0000, 186, 172, 140
L -1178.53, -200.00, 0.0000, 412.84, -200.00, 0.0000, 186, 172, 140
L -1178.53, 0.00, 0.0000, 412.84, 0.00, 0.0000, 186, 172, 140
L -1178.53, 200.00, 0.0000, 412.84, 200.00, 0.0000, 186, 172, 140
L -1178.53, 400.00, 0.0000, 412.84, 400.00, 0.0000, 186, 172, 140
L -1178.53, 521.78, 0.0000, 412.84, 521.78, 0.0000, 186, 172, 140
L -1178.53, -908.62, 0.0000, -1178.53, 521.78, 0.0000, 186, 172, 140
L 412.84, -908.62, 0.0000, 412.84, 521.78, 0.0000, 186, 172, 140
L -1432.53, -1162.62, 0.0000, -1309.04, -1133.12, 0.0000, 120, 96, 54
L -1309.04, -1133.12, 0.0000, -1185.55, -1162.62, 0.0000, 120, 96, 54
L -1185.55, -1162.62, 0.0000, -1062.05, -1134.19, 0.0000, 120, 96, 54
L -1062.05, -1134.19, 0.0000, -938.56, -1162.62, 0.0000, 120, 96, 54
L -938.56, -1162.62, 0.0000, -815.07, -1138.51, 0.0000, 120, 96, 54
L -815.07, -1138.51, 0.0000, -691.58, -1162.62, 0.0000, 120, 96, 54
L -74.11, -1145.84, 0.0000, 49.38, -1162.62, 0.0000, 120, 96, 54
L 49.38, -1162.62, 0.0000, 172.87, -1141.74, 0.0000, 120, 96, 54
L 172.87, -1141.74, 0.0000, 296.36, -1162.62, 0.0000, 120, 96, 54
L 296.36, -1162.62, 0.0000, 419.86, -1143.51, 0.0000, 120, 96, 54
L 419.86, -1143.51, 0.0000, 543.35, -1162.62, 0.0000, 120, 96, 54
L 543.35, -1162.62, 0.0000, 666.84, -1138.94, 0.0000, 120, 96, 54
L -1309.04, 775.78, 0.0000, -1432.53, 757.39, 0.0000, 120, 96, 54
L -1432.53, 775.78, 0.0000, -1403.25, 654.63, 0.0000, 120, 96, 54
L -1403.25, 654.63, 0.0000, -1432.53, 533.48, 0.0000, 120, 96, 54
L -1432.53, 533.48, 0.0000, -1403.21, 412.33, 0.0000, 120, 96, 54
L -1403.21, 412.33, 0.0000, -1432.53, 291.18, 0.0000, 120, 96, 54
L -1432.53, 291.18, 0.0000, -1413.65, 170.03, 0.0000, 120, 96, 54
L -1413.65, 170.03, 0.0000, -1432.53, 48.88, 0.0000, 120, 96, 54
L -1432.53, 48.88, 0.0000, -1406.68, -72.27, 0.0000, 120, 96, 54
L -1417.26, -1041.47, 0.0000, -1432.53, -1162.62, 0.0000, 120, 96, 54
L 587.84, -759.91, 0.0000, 578.22, -598.06, 0.0000, 176, 146, 74
L 578.22, -598.06, 0.0000, 587.84, -436.20, 0.0000, 176, 146, 74
L 587.84, -436.20, 0.0000, 574.78, -274.35, 0.0000, 176, 146, 74
L 574.78, -274.35, 0.0000, 587.84, -112.49, 0.0000, 176, 146, 74
L 587.84, -112.49, 0.0000, 577.59, 49.36, 0.0000, 176, 146, 74
L 577.59, 49.36, 0.0000, 587.84, 211.22, 0.0000, 176, 146, 74
L 587.84, 211.22, 0.0000, 578.98, 373.07, 0.0000, 176, 146, 74
L 578.98, 373.07, 0.0000, 587.84, 534.93, 0.0000, 176, 146, 74
L 587.84, 534.93, 0.0000, 578.88, 696.78, 0.0000, 176, 146, 74
