P -604.7700, 286.2760, 0.0000, 70, 110, 140, 3, N
P -604.7700, 465.4760, 0.0000, 90, 120, 140, 1, S
P -515.1700, 375.8760, 0.0000, 90, 120, 140, 1, E
P -694.3700, 375.8760, 0.0000, 90, 120, 140, 1, W
L -400.00, -1287.50, 0.0000, -400.00, 250.25, 0.0000, 170, 190, 205
L -200.00, -1287.50, 0.0000, -200.00, 250.25, 0.0000, 170, 190, 205
L 0.00, -1287.50, 0.0000, 0.00, 250.25, 0.0000, 170, 190, 205
L 200.00, -1287.50, 0.0000, 200.00, 250.25, 0.0000, 170, 190, 205
L 400.00, -1287.50, 0.0000, 400.00, 250.25, 0.0000, 170, 190, 205
L 600.00, -1287.50, 0.0000, 600.00, 250.25, 0.0000, 170, 190, 205
L -461.81, -1000.00, 0.0000, 615.75, -1000.00, 0.0000, 170, 190, 205
L -461.81, -800.00, 0.0000, 615.75, -800.00, 0.0000, 170, 190, 205
L -461.81, -600.00, 0.0000, 615.75, -600.00, 0.0000, 170, 190, 205
L -461.81, -400.00, 0.0000, 615.75, -400.00, 0.0000, 170, 190, 205
L -461.81, -200.00, 0.0000, 615.75, -200.00, 0.0000, 170, 190, 205
L -461.81, 0.00, 0.0000, 615.75, 0.00, 0.0000, 170, 190, 205
L -461.81, 200.00, 0.0000, 615.75, 200.00, 0.0000, 170, 190, 205
L -461.81, 250.25, 0.0000, 615.75, 250.25, 0.0000, 170, 190, 205
L -461.81, -1287.50, 0.0000, -461.81, 250.25, 0.0000, 170, 190, 205
L 615.75, -1287.50, 0.0000, 615.75, 250.25, 0.0000, 170, 190, 205
L 840.82, -1152.92, 0.0000, 861.75, -1026.06, 0.0000, 90, 120, 140
L 861.75, -1026.06, 0.0000, 841.97, -899.20, 0.0000, 90, 120, 140
L 841.97, -899.20, 0.0000, 861.75, -772.34, 0.0000, 90, 120, 140
L 861.75, -772.34, 0.0000, 848.20, -645.48, 0.0000, 90, 120, 140
L 848.20, -645.48, 0.0000, 861.75, -518.62, 0.0000, 90, 120, 140
L 861.75, -518.62, 0.0000, 843.25, -391.77, 0.0000, 90, 120, 140
L 843.25, -391.77, 0.0000, 861.75, -264.91, 0.0000, 90, 120, 140
L 861.75, -264.91, 0.0000, 839.41, -138.05, 0.0000, 90, 120, 140
L 839.41, -138.05, 0.0000, 861.75, -11.19, 0.0000, 90, 120, 140
L 861.75, -11.19, 0.0000, 850.86, 115.67, 0.0000, 90, 120, 140
L 850.86, 115.67, 0.0000, 861.75, 242.53, 0.0000, 90, 120, 140
L 861.75, 242.53, 0.0000, 832.52, 369.39, 0.0000, 90, 120, 140
L 832.52, 369.39, 0.0000, 861.75, 496.25, 0.0000, 90, 120, 140
L 861.75, 496.25, 0.0000, 741.01, 478.02, 0.0000, 90, 120, 140
L 741.01, 478.02, 0.0000, 620.28, 496.25, 0.0000, 90, 120, 140
L 620.28, 496.25, 0.0000, 499.54, 476.30, 0.0000, 90, 120, 140
L 499.54, 476.30, 0.0000, 378.81, 496.25, 0.0000, 90, 120, 140
L 378.81, 496.25, 0.0000, 258.07, 485.58, 0.0000, 90, 120, 140
L 258.07, 485.58, 0.0000, 137.34, 496.25, 0.0000, 90, 120, 140
L 137.34, 496.25, 0.0000, 16.60, 479.11, 0.0000, 90, 120, 140
L 16.60, 479.11, 0.0000, -104.13, 496.25, 0.0000, 90, 120, 140
L -104.13, 496.25, 0.0000, -224.87, 484.10, 0.0000, 90, 120, 140
L -224.87, 484.10, 0.0000, -345.60, 496.25, 0.0000, 90, 120, 140
L -345.60, 496.25, 0.0000, -466.34, 471.88, 0.0000, 90, 120, 140
L -466.34, 471.88, 0.0000, -587.07, 496.25, 0.0000, 90, 120, 140
L -587.07, 496.25, 0.0000, -707.81, 475.59, 0.0000, 90, 120, 140
L -707.81, 496.25, 0.0000, -691.57, 369.39, 0.0000, 90, 120, 140
L -691.57, 369.39, 0.0000, -707.81, 242.53, 0.0000, 90, 120, 140
L -707.81, 242.53, 0.0000, -694.83, 115.67, 0.0000, 90, 120, 140
L -694.83, 115.67, 0.0000, -707.81, -11.19, 0.0000, 90, 120, 140
L -707.81, -11.19, 0.0000, -688.82, -138.05, 0.0000, 90, 120, 140
L -688.82, -138.05, 0.0000, -707.81, -264.91, 0.0000, 90, 120, 140
L -707.81, -264.91, 0.0000, -692.86, -391.77, 0.0000, 90, 120, 140
L -692.86, -391.77, 0.0000, -707.81, -518.62, 0.0000, 90, 120, 140
L -707.81, -518.62, 0.0000, -694.41, -645.48, 0.0000, 90, 120, 140
L -694.41, -645.48, 0.0000, -707.81, -772.34, 0.0000, 90, 120, 140
L -707.81, -772.34, 0.0000, -685.14, -899.20, 0.0000, 90, 120, 140
L -685.14, -899.20, 0.0000, -707.81, -1026.06, 0.0000, 90, 120, 140
L -707.81, -1026.06, 0.0000, -682.71, -1152.92, 0.0000, 90, 120, 140
L 785.75, -1144.54, 0.0000, 779.92, -988.06, 0.0000, 150, 200, 220
L 779.92, -988.06, 0.0000, 785.75, -831.58, 0.0000, 150, 200, 220
L 785.75, -831.58, 0.0000, 774.75, -675.10, 0.0000, 150, 200, 220
L 774.75, -675.10, 0.0000, 785.75, -518.62, 0.0000, 150, 200, 220
L 785.75, -518.62, 0.0000, 779.38, -362.15, 0.0000, 150, 200, 220
L 779.38, -362.15, 0.0000, 785.75, -205.67, 0.0000, 150, 200, 220
L 785.75, -205.67, 0.0000, 779.07, -49.19, 0.0000, 150, 200, 220
L 779.07, -49.19, 0.0000, 785.75, 107.29, 0.0000, 150, 200, 220
L 785.75, 107.29, 0.0000, 774.53, 263.77, 0.0000, 150, 200, 220
L 774.53, 263.77, 0.0000, 785.75, 420.25, 0.0000, 150, 200, 220
L 785.75, 420.25, 0.0000, 628.24, 405.50, 0.0000, 150, 200, 220
L 628.24, 405.50, 0.0000, 470.74, 420.25, 0.0000, 150, 200, 220
L 470.74, 420.25, 0.0000, 313.23, 412.62, 0.0000, 150, 200, 220
L 313.23, 412.62, 0.0000, 155.72, 420.25, 0.0000, 150, 200, 220
L 155.72, 420.25, 0.0000, -1.78, 407.10, 0.0000, 150, 200, 220
L -1.78, 407.10, 0.0000, -159.29, 420.25, 0.0000, 150, 200, 220
L -159.29, 420.25, 0.0000, -316.80, 409.50, 0.0000, 150, 200, 220
L -316.80, 409.50, 0.0000, -474.30, 420.25, 0.0000, 150, 200, 220
L  -532.2600, 460.8760, 0.0000, -689.7700, 446.2960, 0.0000, 150, 200, 220
L -631.81, 420.25, 0.0000, -620.11, 263.77, 0.0000, 150, 200, 220
L -620.11, 263.77, 0.0000, -631.81, 107.29, 0.0000, 150, 200, 220
L -631.81, 107.29, 0.0000, -625.60, -49.19, 0.0000, 150, 200, 220
L -625.60, -49.19, 0.0000, -631.81, -205.67, 0.0000, 150, 200, 220
L -631.81, -205.67, 0.0000, -618.21, -362.15, 0.0000, 150, 200, 220
L -618.21, -362.15, 0.0000, -631.81, -518.62, 0.0000, 150, 200, 220
L -631.81, -518.62, 0.0000, -617.08, -675.10, 0.0000, 150, 200, 220
L -617.08, -675.10, 0.0000, -631.81, -831.58, 0.0000, 150, 200, 220
L -631.81, -831.58, 0.0000, -615.38, -988.06, 0.0000, 150, 200, 220
L -615.38, -988.06, 0.0000, -631.81, -1144.54, 0.0000, 150, 200, 220
L  -534.7700, 375.8760, 0.0000, -535.8300, 388.0360, 0.0000, 90, 120, 140
L  -535.8300, 388.0360, 0.0000, -538.9900, 399.8160, 0.0000, 90, 120, 140
L  -538.9900, 399.8160, 0.0000, -544.1500, 410.8760, 0.0000, 90, 120, 140
L  -544.1500, 410.8760, 0.0000, -551.1500, 420.8760, 0.0000, 90, 120, 140
L  -551.1500, 420.8760, 0.0000, -559.7700, 429.4960, 0.0000, 90, 120, 140
L  -559.7700, 429.4960, 0.0000, -569.7700, 436.4960, 0.0000, 90, 120, 140
L  -569.7700, 436.4960, 0.0000, -580.8300, 441.6560, 0.0000, 90, 120, 140
L  -580.8300, 441.6560, 0.0000, -592.6100, 444.8160, 0.0000, 90, 120, 140
L  -592.6100, 444.8160, 0.0000, -604.7700, 445.8760, 0.0000, 90, 120, 140
L  -604.7700, 445.8760, 0.0000, -616.9300, 444.8160, 0.0000, 90, 120, 140
L  -616.9300, 444.8160, 0.0000, -628.7100, 441.6560, 0.0000, 90, 120, 140
L  -628.7100, 441.6560, 0.0000, -639.7700, 436.4960, 0.0000, 90, 120, 140
L  -639.7700, 436.4960, 0.0000, -649.7700, 429.4960, 0.0000, 90, 120, 140
L  -649.7700, 429.4960, 0.0000, -658.3900, 420.8760, 0.0000, 90, 120, 140
L  -658.3900, 420.8760, 0.0000, -665.3900, 410.8760, 0.0000, 90, 120, 140
L  -665.3900, 410.8760, 0.0000, -670.5500, 399.8160, 0.0000, 90, 120, 140
L  -670.5500, 399.8160, 0.0000, -673.7100, 388.0360, 0.0000, 90, 120, 140
L  -673.7100, 388.0360, 0.0000, -674.7700, 375.8760, 0.0000, 90, 120, 140
L  -674.7700, 375.8760, 0.0000, -673.7100, 363.7160, 0.0000, 90, 120, 140
L  -673.7100, 363.7160, 0.0000, -670.5500, 351.9360, 0.0000, 90, 120, 140
L  -670.5500, 351.9360, 0.0000, -665.3900, 340.8760, 0.0000, 90, 120, 140
L  -665.3900, 340.8760, 0.0000, -658.3900, 330.8760, 0.0000, 90, 120, 140
L  -658.3900, 330.8760, 0.0000, -649.7700, 322.2560, 0.0000, 90, 120, 140
L  -649.7700, 322.2560, 0.0000, -639.7700, 315.2560, 0.0000, 90, 120, 140
L  -639.7700, 315.2560, 0.0000, -628.7100, 310.0960, 0.0000, 90, 120, 140
L  -628.7100, 310.0960, 0.0000, -616.9300, 306.9360, 0.0000, 90, 120, 140
L  -616.9300, 306.9360, 0.0000, -604.7700, 305.8760, 0.0000, 90, 120, 140
L  -604.7700, 305.8760, 0.0000, -592.6100, 306.9360, 0.0000, 90, 120, 140
L  -592.6100, 306.9360, 0.0000, -580.8300, 310.0960, 0.0000, 90, 120, 140
L  -580.8300, 310.0960, 0.0000, -569.7700, 315.2560, 0.0000, 90, 120, 140
L  -569.7700, 315.2560, 0.0000, -559.7700, 322.2560, 0.0000, 90, 120, 140
L  -559.7700, 322.2560, 0.0000, -551.1500, 330.8760, 0.0000, 90, 120, 140
L  -551.1500, 330.8760, 0.0000, -544.1500, 340.8760, 0.0000, 90, 120, 140
L  -544.1500, 340.8760, 0.0000, -538.9900, 351.9360, 0.0000, 90, 120, 140
L  -538.9900, 351.9360, 0.0000, -535.8300, 363.7160, 0.0000, 90, 120, 140
L  -535.8300, 363.7160, 0.0000, -534.7700, 375.8760, 0.0000, 90, 120, 140
L  -525.6700, 375.8760, 0.0000, -526.8700, 389.6160, 0.0000, 150, 200, 220
L  -526.8700, 389.6160, 0.0000, -530.4400, 402.9260, 0.0000, 150, 200, 220
L  -530.4400, 402.9260, 0.0000, -536.2700, 415.4260, 0.0000, 150, 200, 220
L  -536.2700, 415.4260, 0.0000, -544.1800, 426.7160, 0.0000, 150, 200, 220
L  -544.1800, 426.7160, 0.0000, -553.9300, 436.4660, 0.0000, 150, 200, 220
L  -553.9300, 436.4660, 0.0000, -565.2200, 444.3760, 0.0000, 150, 200, 220
L  -565.2200, 444.3760, 0.0000, -577.7200, 450.2060, 0.0000, 150, 200, 220
L  -577.7200, 450.2060, 0.0000, -591.0300, 453.7760, 0.0000, 150, 200, 220
L  -591.0300, 453.7760, 0.0000, -604.7700, 454.9760, 0.0000, 150, 200, 220
L  -604.7700, 454.9760, 0.0000, -618.5100, 453.7760, 0.0000, 150, 200, 220
L  -618.5100, 453.7760, 0.0000, -631.8200, 450.2060, 0.0000, 150, 200, 220
L  -631.8200, 450.2060, 0.0000, -644.3200, 444.3760, 0.0000, 150, 200, 220
L  -644.3200, 444.3760, 0.0000, -655.6100, 436.4660, 0.0000, 150, 200, 220
L  -655.6100, 436.4660, 0.0000, -665.3600, 426.7160, 0.0000, 150, 200, 220
L  -665.3600, 426.7160, 0.0000, -673.2700, 415.4260, 0.0000, 150, 200, 220
L  -673.2700, 415.4260, 0.0000, -679.1000, 402.9260, 0.0000, 150, 200, 220
L  -679.1000, 402.9260, 0.0000, -682.6700, 389.6160, 0.0000, 150, 200, 220
L  -682.6700, 389.6160, 0.0000, -683.8700, 375.8760, 0.0000, 150, 200, 220
L  -683.8700, 375.8760, 0.0000, -682.6700, 362.1360, 0.0000, 150, 200, 220
L  -682.6700, 362.1360, 0.0000, -679.1000, 348.8260, 0.0000, 150, 200, 220
L  -679.1000, 348.8260, 0.0000, -673.2700, 336.3260, 0.0000, 150, 200, 220
L  -673.2700, 336.3260, 0.0000, -665.3600, 325.0360, 0.0000, 150, 200, 220
L  -665.3600, 325.0360, 0.0000, -655.6100, 315.2860, 0.0000, 150, 200, 220
L  -655.6100, 315.2860, 0.0000, -644.3200, 307.3760, 0.0000, 150, 200, 220
L  -644.3200, 307.3760, 0.0000, -631.8200, 301.5460, 0.0000, 150, 200, 220
L  -631.8200, 301.5460, 0.0000, -618.5100, 297.9760, 0.0000, 150, 200, 220
L  -618.5100, 297.9760, 0.0000, -604.7700, 296.7760, 0.0000, 150, 200, 220
L  -604.7700, 296.7760, 0.0000, -591.0300, 297.9760, 0.0000, 150, 200, 220
L  -591.0300, 297.9760, 0.0000, -577.7200, 301.5460, 0.0000, 150, 200, 220
L  -577.7200, 301.5460, 0.0000, -565.2200, 307.3760, 0.0000, 150, 200, 220
L  -565.2200, 307.3760, 0.0000, -553.9300, 315.2860, 0.0000, 150, 200, 220
L  -553.9300, 315.2860, 0.0000, -544.1800, 325.0360, 0.0000, 150, 200, 220
L  -544.1800, 325.0360, 0.0000, -536.2700, 336.3260, 0.0000, 150, 200, 220
L  -536.2700, 336.3260, 0.0000, -530.4400, 348.8260, 0.0000, 150, 200, 220
L  -530.4400, 348.8260, 0.0000, -526.8700, 362.1360, 0.0000, 150, 200, 220
L  -526.8700, 362.1360, 0.0000, -525.6700, 375.8760, 0.0000, 150, 200, 220
L  -604.7700, 375.8760, 0.0000, -604.7700, 305.8760, 0.0000, 150, 200, 220
L  -604.7700, 375.8760, 0.0000, -575.0700, 346.1760, 0.0000, 170, 190, 205
L  -604.7700, 375.8760, 0.0000, -534.7700, 375.8760, 0.0000, 150, 200, 220
L  -604.7700, 375.8760, 0.0000, -575.0700, 405.5760, 0.0000, 170, 190, 205
L  -604.7700, 375.8760, 0.0000, -604.7700, 445.8760, 0.0000, 150, 200, 220
L  -604.7700, 375.8760, 0.0000, -634.4700, 405.5760, 0.0000, 170, 190, 205
L  -604.7700, 375.8760, 0.0000, -674.7700, 375.8760, 0.0000, 150, 200, 220
L  -604.7700, 375.8760, 0.0000, -634.4700, 346.1760, 0.0000, 170, 190, 205
L  -604.7700, 340.8760, 0.0000, -604.7700, 312.8760, 0.0000, 70, 110, 140
L  -612.7700, 319.8760, 0.0000, -604.7700, 310.0760, 0.0000, 70, 110, 140
L  -596.7700, 319.8760, 0.0000, -604.7700, 310.0760, 0.0000, 70, 110, 140
L -530.1502, -1519.5995, 0.0000, -499.4866, -1519.5995, 0.0000, 72, 62, 54
L -494.2173, -1519.5995, 0.0000, -474.7500, -1519.5995, 0.0000, 72, 62, 54
L -468.6934, -1519.5995, 0.0000, -431.3820, -1519.5995, 0.0000, 72, 62, 54
L -428.4421, -1519.5995, 0.0000, -384.2090, -1519.5995, 0.0000, 72, 62, 54
L -378.2135, -1519.5995, 0.0000, -364.2149, -1519.5995, 0.0000, 72, 62, 54
L -359.1070, -1519.5995, 0.0000, -344.8808, -1519.5995, 0.0000, 72, 62, 54
L -340.5074, -1519.5995, 0.0000, -297.1300, -1519.5995, 0.0000, 72, 62, 54
L -292.3133, -1519.5995, 0.0000, -255.7376, -1519.5995, 0.0000, 72, 62, 54
L -252.2299, -1519.5995, 0.0000, -237.7612, -1519.5995, 0.0000, 72, 62, 54
L -230.0674, -1519.5995, 0.0000, -210.5297, -1519.5995, 0.0000, 72, 62, 54
L -203.0425, -1519.5995, 0.0000, -172.0136, -1519.5995, 0.0000, 72, 62, 54
L -165.0135, -1519.5995, 0.0000, -133.3107, -1519.5995, 0.0000, 72, 62, 54
L -129.8781, -1519.5995, 0.0000, -109.1311, -1519.5995, 0.0000, 72, 62, 54
L -103.1646, -1519.5995, 0.0000, -70.6036, -1519.5995, 0.0000, 72, 62, 54
L -66.4149, -1519.5995, 0.0000, -26.3083, -1519.5995, 0.0000, 72, 62, 54
