P -410.9600, 642.5120, 0.0000, 90, 60, 34, 3, N
P -410.9600, 821.7120, 0.0000, 90, 60, 34, 1, S
P -321.3600, 732.1120, 0.0000, 90, 60, 34, 1, E
P -500.5600, 732.1120, 0.0000, 90, 60, 34, 1, W
L -200.00, -867.00, 0.0000, -200.00, 616.00, 0.0000, 188, 178, 158
L 0.00, -867.00, 0.0000, 0.00, 616.00, 0.0000, 188, 178, 158
L 200.00, -867.00, 0.0000, 200.00, 616.00, 0.0000, 188, 178, 158
L 400.00, -867.00, 0.0000, 400.00, 616.00, 0.0000, 188, 178, 158
L 600.00, -867.00, 0.0000, 600.00, 616.00, 0.0000, 188, 178, 158
L -279.00, -600.00, 0.0000, 713.00, -600.00, 0.0000, 188, 178, 158
L -279.00, -400.00, 0.0000, 713.00, -400.00, 0.0000, 188, 178, 158
L -279.00, -200.00, 0.0000, 713.00, -200.00, 0.0000, 188, 178, 158
L -279.00, 0.00, 0.0000, 713.00, 0.00, 0.0000, 188, 178, 158
L -279.00, 200.00, 0.0000, 713.00, 200.00, 0.0000, 188, 178, 158
L -279.00, 400.00, 0.0000, 713.00, 400.00, 0.0000, 188, 178, 158
L -279.00, 600.00, 0.0000, 713.00, 600.00, 0.0000, 188, 178, 158
L 948.00, -642.47, 0.0000, 927.85, -527.59, 0.0000, 90, 60, 34
L 927.85, -527.59, 0.0000, 948.00, -412.71, 0.0000, 90, 60, 34
L 948.00, -412.71, 0.0000, 936.24, -297.82, 0.0000, 90, 60, 34
L 936.24, -297.82, 0.0000, 948.00, -182.94, 0.0000, 90, 60, 34
L 948.00, -182.94, 0.0000, 929.97, -68.06, 0.0000, 90, 60, 34
L 929.97, -68.06, 0.0000, 948.00, 46.82, 0.0000, 90, 60, 34
L 948.00, 46.82, 0.0000, 935.69, 161.71, 0.0000, 90, 60, 34
L 935.69, 161.71, 0.0000, 948.00, 276.59, 0.0000, 90, 60, 34
L 948.00, 276.59, 0.0000, 938.39, 391.47, 0.0000, 90, 60, 34
L 938.39, 391.47, 0.0000, 948.00, 506.35, 0.0000, 90, 60, 34
L 948.00, 506.35, 0.0000, 931.46, 621.24, 0.0000, 90, 60, 34
L 931.46, 621.24, 0.0000, 948.00, 736.12, 0.0000, 90, 60, 34
L 948.00, 736.12, 0.0000, 930.13, 851.00, 0.0000, 90, 60, 34
L 948.00, 851.00, 0.0000, 835.54, 830.70, 0.0000, 90, 60, 34
L 835.54, 830.70, 0.0000, 723.08, 851.00, 0.0000, 90, 60, 34
L 723.08, 851.00, 0.0000, 610.62, 837.20, 0.0000, 90, 60, 34
L 610.62, 837.20, 0.0000, 498.15, 851.00, 0.0000, 90, 60, 34
L 498.15, 851.00, 0.0000, 385.69, 825.07, 0.0000, 90, 60, 34
L 385.69, 825.07, 0.0000, 273.23, 851.00, 0.0000, 90, 60, 34
L 273.23, 851.00, 0.0000, 160.77, 829.94, 0.0000, 90, 60, 34
L 160.77, 829.94, 0.0000, 48.31, 851.00, 0.0000, 90, 60, 34
L 48.31, 851.00, 0.0000, -64.15, 838.02, 0.0000, 90, 60, 34
L -64.15, 838.02, 0.0000, -176.62, 851.00, 0.0000, 90, 60, 34
L -176.62, 851.00, 0.0000, -289.08, 840.71, 0.0000, 90, 60, 34
L -289.08, 840.71, 0.0000, -401.54, 851.00, 0.0000, 90, 60, 34
L -401.54, 851.00, 0.0000, -514.00, 835.13, 0.0000, 90, 60, 34
L -514.00, 851.00, 0.0000, -490.59, 736.12, 0.0000, 90, 60, 34
L -490.59, 736.12, 0.0000, -514.00, 621.24, 0.0000, 90, 60, 34
L -514.00, 621.24, 0.0000, -488.71, 506.35, 0.0000, 90, 60, 34
L -488.71, 506.35, 0.0000, -514.00, 391.47, 0.0000, 90, 60, 34
L -514.00, 391.47, 0.0000, -504.89, 276.59, 0.0000, 90, 60, 34
L -504.89, 276.59, 0.0000, -514.00, 161.71, 0.0000, 90, 60, 34
L -514.00, 161.71, 0.0000, -489.52, 46.82, 0.0000, 90, 60, 34
L -489.52, 46.82, 0.0000, -514.00, -68.06, 0.0000, 90, 60, 34
L -514.00, -68.06, 0.0000, -488.33, -182.94, 0.0000, 90, 60, 34
L -488.33, -182.94, 0.0000, -514.00, -297.82, 0.0000, 90, 60, 34
