L 586, 689, 66, 572, 689, 66, 213, 124, 79
L 456, 649, -23, 456, 649, -16, 118, 62, 36
L 507, 484, 48, 507, 484, 50, 183, 107, 68
L 1092, 307, 71, 1092, 294, 71, 213, 124, 79
L 483, 851, 30, 483, 851, 19, 118, 62, 36
L 428, 729, 54, 428, 729, 66, 213, 124, 79
L 931, 429, 38, 933, 429, 39, 150, 88, 56
L 1029, 337, 38, 1029, 337, 45, 150, 88, 56
L 607, 991, 18, 609, 997, 14, 118, 62, 36
L 629, 844, 54, 631, 844, 66, 213, 124, 79
L 455, 851, 26, 453, 862, 26, 118, 62, 36
L 897, 421, 52, 895, 421, 40, 150, 88, 56
L 485, 733, 49, 499, 733, 49, 183, 107, 68
L 615, 600, 64, 615, 600, 52, 213, 124, 79
L 634, 178, 58, 634, 178, 40, 183, 107, 68
L 1008, 511, 38, 1008, 509, 38, 150, 88, 56
L 607, 746, 66, 607, 746, 71, 213, 124, 79
L 1079, 295, 45, 1079, 295, 33, 150, 88, 56
L 1212, 353, 47, 1212, 353, 58, 183, 107, 68
L 743, 81, 56, 753, 81, 54, 183, 107, 68
L 487, 524, 62, 487, 524, 60, 213, 124, 79
L 546, 358, 41, 544, 358, 41, 150, 88, 56
L 759, -28, 53, 759, -38, 53, 183, 107, 68
L 545, 489, 13, 552, 487, 12, 118, 62, 36
L 530, 597, 42, 530, 587, 42, 150, 88, 56
L 550, 961, -10, 547, 961, -10, 118, 62, 36
L 681, 921, 36, 681, 921, 23, 118, 62, 36
L 502, 495, 67, 502, 495, 53, 213, 124, 79
L 955, 441, 55, 955, 441, 57, 213, 124, 79
L 672, 202, 53, 672, 202, 55, 183, 107, 68
L 966, 348, 29, 965, 348, 40, 118, 62, 36
L 675, 424, 45, 675, 424, 35, 150, 88, 56
L 636, 295, 51, 636, 295, 39, 150, 88, 56
L 586, 515, 47, 570, 519, 48, 183, 107, 68
L 689, 440, 59, 689, 442, 38, 183, 107, 68
L 628, 534, 64, 630, 534, 64, 213, 124, 79
L 714, 773, 54, 712, 773, 54, 183, 107, 68
L 588, 113, 37, 588, 115, 27, 118, 62, 36
L 1201, 279, 47, 1201, 279, 59, 183, 107, 68
L 308, 804, 67, 308, 804, 57, 213, 124, 79
L 473, 705, 48, 473, 705, 66, 213, 124, 79
L 648, 719, 66, 646, 719, 54, 213, 124, 79
L 741, 83, 24, 725, 83, 24, 118, 62, 36
L 752, 421, 42, 752, 423, 42, 150, 88, 56
L 609, 717, 56, 609, 717, 58, 213, 124, 79
L 298, 824, 67, 298, 824, 57, 213, 124, 79
L 426, 826, 34, 424, 826, 34, 118, 62, 36
L 574, 344, 43, 572, 344, 41, 150, 88, 56
L 538, 954, 65, 532, 954, 64, 213, 124, 79
L 649, 1034, 50, 661, 1034, 50, 183, 107, 68
L 543, 790, 53, 563, 790, 53, 183, 107, 68
L 616, 462, 52, 620, 464, 66, 213, 124, 79
L 567, 358, -27, 568, 353, -27, 118, 62, 36
L 697, 167, 36, 697, 167, 27, 118, 62, 36
L 372, 826, 39, 374, 826, 29, 118, 62, 36
L 641, 964, 56, 639, 964, 44, 183, 107, 68
L 1128, 281, 51, 1128, 281, 47, 183, 107, 68
L 995, 299, 39, 1004, 301, 40, 150, 88, 56
L 380, 814, 64, 380, 809, 57, 213, 124, 79
L 521, 379, 47, 521, 379, 32, 150, 88, 56
L 530, 189, 39, 538, 196, 39, 150, 88, 56
L 587, 862, 50, 587, 862, 40, 150, 88, 56
L 1000, 337, 47, 1005, 334, 47, 183, 107, 68
L 456, 692, -33, 456, 692, -16, 118, 62, 36
L 847, 546, 43, 847, 548, 43, 150, 88, 56
L 540, 364, 51, 542, 362, 52, 183, 107, 68
L 719, 448, 30, 719, 448, 50, 150, 88, 56
L 1001, 274, 19, 1001, 274, 24, 118, 62, 36
L 380, 824, 64, 380, 814, 64, 213, 124, 79
L 673, 597, 46, 673, 597, 56, 183, 107, 68
L 848, 336, 24, 848, 336, 36, 118, 62, 36
L 687, 368, 64, 684, 367, 64, 213, 124, 79
L 775, 272, 42, 765, 272, 42, 150, 88, 56
L 467, 826, 45, 467, 826, 47, 150, 88, 56
L 607, 997, 22, 607, 997, 18, 118, 62, 36
L 697, 539, 34, 702, 545, 38, 150, 88, 56
L 1108, 233, 57, 1106, 233, 57, 213, 124, 79
L 519, 512, 57, 519, 512, 53, 183, 107, 68
L 499, 685, 64, 499, 682, 66, 213, 124, 79
L 567, 717, 50, 567, 714, 50, 183, 107, 68
L 743, 38, 46, 732, 27, 47, 183, 107, 68
L 1004, 285, 58, 997, 274, 58, 213, 124, 79
L 635, 383, 45, 645, 383, 45, 150, 88, 56
L 597, 719, 58, 599, 719, 42, 183, 107, 68
L 635, 1018, 56, 635, 1018, 50, 183, 107, 68
L 1027, 214, 59, 1029, 219, 59, 213, 124, 79
L 604, 244, 41, 604, 251, 41, 150, 88, 56
L 913, 269, 29, 938, 261, 24, 118, 62, 36
