P -96.00, 1068.40, 0.0000, 184, 70, 22, 3, N
P -96.00, 1247.60, 0.0000, 96, 50, 28, 1, S
P -6.40, 1158.00, 0.0000, 96, 50, 28, 1, E
P -185.60, 1158.00, 0.0000, 96, 50, 28, 1, W
L 0.00, -89.00, 0.0000, 0.00, 1090.00, 0.0000, 168, 120, 90
L 160.00, -89.00, 0.0000, 160.00, 1090.00, 0.0000, 168, 120, 90
L 320.00, -89.00, 0.0000, 320.00, 1090.00, 0.0000, 168, 120, 90
L 480.00, -89.00, 0.0000, 480.00, 1090.00, 0.0000, 168, 120, 90
L 640.00, -89.00, 0.0000, 640.00, 1090.00, 0.0000, 168, 120, 90
L 800.00, -89.00, 0.0000, 800.00, 1090.00, 0.0000, 168, 120, 90
L 960.00, -89.00, 0.0000, 960.00, 1090.00, 0.0000, 168, 120, 90
L 1120.00, -89.00, 0.0000, 1120.00, 1090.00, 0.0000, 168, 120, 90
L -28.00, 160.00, 0.0000, 1214.00, 160.00, 0.0000, 168, 120, 90
L -28.00, 320.00, 0.0000, 1214.00, 320.00, 0.0000, 168, 120, 90
L -28.00, 480.00, 0.0000, 1214.00, 480.00, 0.0000, 168, 120, 90
L -28.00, 640.00, 0.0000, 1214.00, 640.00, 0.0000, 168, 120, 90
L -28.00, 800.00, 0.0000, 1214.00, 800.00, 0.0000, 168, 120, 90
L -28.00, 960.00, 0.0000, 1214.00, 960.00, 0.0000, 168, 120, 90
L -28.00, 1090.00, 0.0000, 1214.00, 1090.00, 0.0000, 168, 120, 90
L -28.00, -89.00, 0.0000, -28.00, 1090.00, 0.0000, 168, 120, 90
L 1214.00, -89.00, 0.0000, 1214.00, 1090.00, 0.0000, 168, 120, 90
L 1385.88, 76.46, 0.0000, 1412.00, 197.62, 0.0000, 96, 50, 28
L 1412.00, 197.62, 0.0000, 1400.66, 318.77, 0.0000, 96, 50, 28
L 1400.66, 318.77, 0.0000, 1412.00, 439.92, 0.0000, 96, 50, 28
L 1412.00, 439.92, 0.0000, 1398.93, 561.08, 0.0000, 96, 50, 28
L 1398.93, 561.08, 0.0000, 1412.00, 682.23, 0.0000, 96, 50, 28
L 1412.00, 682.23, 0.0000, 1383.19, 803.38, 0.0000, 96, 50, 28
L 1383.19, 803.38, 0.0000, 1412.00, 924.54, 0.0000, 96, 50, 28
L 1412.00, 924.54, 0.0000, 1388.91, 1045.69, 0.0000, 96, 50, 28
L 1388.91, 1045.69, 0.0000, 1412.00, 1166.85, 0.0000, 96, 50, 28
L 1412.00, 1166.85, 0.0000, 1384.47, 1288.00, 0.0000, 96, 50, 28
L 1412.00, 1288.00, 0.0000, 1286.00, 1272.28, 0.0000, 96, 50, 28
L 1286.00, 1272.28, 0.0000, 1160.00, 1288.00, 0.0000, 96, 50, 28
L 1160.00, 1288.00, 0.0000, 1034.00, 1266.54, 0.0000, 96, 50, 28
L 1034.00, 1266.54, 0.0000, 908.00, 1288.00, 0.0000, 96, 50, 28
L 908.00, 1288.00, 0.0000, 782.00, 1269.68, 0.0000, 96, 50, 28
L 782.00, 1269.68, 0.0000, 656.00, 1288.00, 0.0000, 96, 50, 28
L 656.00, 1288.00, 0.0000, 530.00, 1275.40, 0.0000, 96, 50, 28
L 530.00, 1275.40, 0.0000, 404.00, 1288.00, 0.0000, 96, 50, 28
L 404.00, 1288.00, 0.0000, 278.00, 1273.94, 0.0000, 96, 50, 28
L 278.00, 1273.94, 0.0000, 152.00, 1288.00, 0.0000, 96, 50, 28
L 152.00, 1288.00, 0.0000, 26.00, 1275.66, 0.0000, 96, 50, 28
L 26.00, 1275.66, 0.0000, -100.00, 1288.00, 0.0000, 96, 50, 28
L -100.00, 1288.00, 0.0000, -226.00, 1262.34, 0.0000, 96, 50, 28
L -226.00, 1288.00, 0.0000, -213.30, 1166.85, 0.0000, 96, 50, 28
L -213.30, 1166.85, 0.0000, -226.00, 1045.69, 0.0000, 96, 50, 28
L -226.00, 1045.69, 0.0000, -215.16, 924.54, 0.0000, 96, 50, 28
L -215.16, 924.54, 0.0000, -226.00, 803.38, 0.0000, 96, 50, 28
L -226.00, 803.38, 0.0000, -202.45, 682.23, 0.0000, 96, 50, 28
L -202.45, 682.23, 0.0000, -226.00, 561.08, 0.0000, 96, 50, 28
L -226.00, 561.08, 0.0000, -210.10, 439.92, 0.0000, 96, 50, 28
L -210.10, 439.92, 0.0000, -226.00, 318.77, 0.0000, 96, 50, 28
L -226.00, 318.77, 0.0000, -200.15, 197.62, 0.0000, 96, 50, 28
L -200.15, 197.62, 0.0000, -226.00, 76.46, 0.0000, 96, 50, 28
L 1350.00, 97.44, 0.0000, 1337.53, 258.67, 0.0000, 216, 92, 30
L 1337.53, 258.67, 0.0000, 1350.00, 419.89, 0.0000, 216, 92, 30
L 1350.00, 419.89, 0.0000, 1337.79, 581.11, 0.0000, 216, 92, 30
L 1337.79, 581.11, 0.0000, 1350.00, 742.33, 0.0000, 216, 92, 30
L 1350.00, 742.33, 0.0000, 1336.12, 903.56, 0.0000, 216, 92, 30
L 1336.12, 903.56, 0.0000, 1350.00, 1064.78, 0.0000, 216, 92, 30
L 1350.00, 1064.78, 0.0000, 1340.84, 1226.00, 0.0000, 216, 92, 30
L 1350.00, 1226.00, 0.0000, 1181.78, 1214.43, 0.0000, 216, 92, 30
L 1181.78, 1214.43, 0.0000, 1013.56, 1226.00, 0.0000, 216, 92, 30
L 1013.56, 1226.00, 0.0000, 845.33, 1214.27, 0.0000, 216, 92, 30
L 845.33, 1214.27, 0.0000, 677.11, 1226.00, 0.0000, 216, 92, 30
L 677.11, 1226.00, 0.0000, 508.89, 1211.03, 0.0000, 216, 92, 30
L 508.89, 1211.03, 0.0000, 340.67, 1226.00, 0.0000, 216, 92, 30
L 340.67, 1226.00, 0.0000, 172.44, 1209.92, 0.0000, 216, 92, 30
L 172.44, 1209.92, 0.0000, 4.22, 1226.00, 0.0000, 216, 92, 30
L 4.22, 1226.00, 0.0000, -164.00, 1220.09, 0.0000, 216, 92, 30
L -164.00, 1226.00, 0.0000, -148.73, 1064.78, 0.0000, 216, 92, 30
L -148.73, 1064.78, 0.0000, -164.00, 903.56, 0.0000, 216, 92, 30
L -164.00, 903.56, 0.0000, -157.09, 742.33, 0.0000, 216, 92, 30
L -157.09, 742.33, 0.0000, -164.00, 581.11, 0.0000, 216, 92, 30
L -164.00, 581.11, 0.0000, -150.74, 419.89, 0.0000, 216, 92, 30
L -150.74, 419.89, 0.0000, -164.00, 258.67, 0.0000, 216, 92, 30
L -164.00, 258.67, 0.0000, -152.53, 97.44, 0.0000, 216, 92, 30
L -26.00, 1158.00, 0.0000, -27.06, 1170.16, 0.0000, 96, 50, 28
L -27.06, 1170.16, 0.0000, -30.22, 1181.94, 0.0000, 96, 50, 28
L -30.22, 1181.94, 0.0000, -35.38, 1193.00, 0.0000, 96, 50, 28
L -35.38, 1193.00, 0.0000, -42.38, 1203.00, 0.0000, 96, 50, 28
L -42.38, 1203.00, 0.0000, -51.00, 1211.62, 0.0000, 96, 50, 28
L -51.00, 1211.62, 0.0000, -61.00, 1218.62, 0.0000, 96, 50, 28
L -61.00, 1218.62, 0.0000, -72.06, 1223.78, 0.0000, 96, 50, 28
L -72.06, 1223.78, 0.0000, -83.84, 1226.94, 0.0000, 96, 50, 28
L -83.84, 1226.94, 0.0000, -96.00, 1228.00, 0.0000, 96, 50, 28
L -96.00, 1228.00, 0.0000, -108.16, 1226.94, 0.0000, 96, 50, 28
L -108.16, 1226.94, 0.0000, -119.94, 1223.78, 0.0000, 96, 50, 28
L -119.94, 1223.78, 0.0000, -131.00, 1218.62, 0.0000, 96, 50, 28
L -131.00, 1218.62, 0.0000, -141.00, 1211.62, 0.0000, 96, 50, 28
L -141.00, 1211.62, 0.0000, -149.62, 1203.00, 0.0000, 96, 50, 28
L -149.62, 1203.00, 0.0000, -156.62, 1193.00, 0.0000, 96, 50, 28
L -156.62, 1193.00, 0.0000, -161.78, 1181.94, 0.0000, 96, 50, 28
L -161.78, 1181.94, 0.0000, -164.94, 1170.16, 0.0000, 96, 50, 28
L -164.94, 1170.16, 0.0000, -166.00, 1158.00, 0.0000, 96, 50, 28
L -166.00, 1158.00, 0.0000, -164.94, 1145.84, 0.0000, 96, 50, 28
L -164.94, 1145.84, 0.0000, -161.78, 1134.06, 0.0000, 96, 50, 28
L -161.78, 1134.06, 0.0000, -156.62, 1123.00, 0.0000, 96, 50, 28
L -156.62, 1123.00, 0.0000, -149.62, 1113.00, 0.0000, 96, 50, 28
L -149.62, 1113.00, 0.0000, -141.00, 1104.38, 0.0000, 96, 50, 28
L -141.00, 1104.38, 0.0000, -131.00, 1097.38, 0.0000, 96, 50, 28
L -131.00, 1097.38, 0.0000, -119.94, 1092.22, 0.0000, 96, 50, 28
L -119.94, 1092.22, 0.0000, -108.16, 1089.06, 0.0000, 96, 50, 28
L -108.16, 1089.06, 0.0000, -96.00, 1088.00, 0.0000, 96, 50, 28
L -96.00, 1088.00, 0.0000, -83.84, 1089.06, 0.0000, 96, 50, 28
L -83.84, 1089.06, 0.0000, -72.06, 1092.22, 0.0000, 96, 50, 28
L -72.06, 1092.22, 0.0000, -61.00, 1097.38, 0.0000, 96, 50, 28
L -61.00, 1097.38, 0.0000, -51.00, 1104.38, 0.0000, 96, 50, 28
L -51.00, 1104.38, 0.0000, -42.38, 1113.00, 0.0000, 96, 50, 28
