P -4078.3350, 5111.2005, 0.0000, 84, 78, 68, 3, N
P -4078.3350, 5738.8605, 0.0000, 96, 88, 76, 1, S
P -3764.5050, 5425.0305, 0.0000, 96, 88, 76, 1, E
P -4392.1650, 5425.0305, 0.0000, 96, 88, 76, 1, W
L -3600.00, -4556.69, 0.0000, -3600.00, 4952.07, 0.0000, 160, 158, 150
L -2400.00, -4556.69, 0.0000, -2400.00, 4952.07, 0.0000, 160, 158, 150
L -1200.00, -4556.69, 0.0000, -1200.00, 4952.07, 0.0000, 160, 158, 150
L 0.00, -4556.69, 0.0000, 0.00, 4952.07, 0.0000, 160, 158, 150
L 1200.00, -4556.69, 0.0000, 1200.00, 4952.07, 0.0000, 160, 158, 150
L 2400.00, -4556.69, 0.0000, 2400.00, 4952.07, 0.0000, 160, 158, 150
L 3600.00, -4556.69, 0.0000, 3600.00, 4952.07, 0.0000, 160, 158, 150
L -3750.74, -2400.00, 0.0000, 3851.67, -2400.00, 0.0000, 160, 158, 150
L -3750.74, -1200.00, 0.0000, 3851.67, -1200.00, 0.0000, 160, 158, 150
L -3750.74, 0.00, 0.0000, 3851.67, 0.00, 0.0000, 160, 158, 150
L -3750.74, 1200.00, 0.0000, 3851.67, 1200.00, 0.0000, 160, 158, 150
L -3750.74, 2400.00, 0.0000, 3851.67, 2400.00, 0.0000, 160, 158, 150
L -3750.74, 3600.00, 0.0000, 3851.67, 3600.00, 0.0000, 160, 158, 150
L -3750.74, 4800.00, 0.0000, 3851.67, 4800.00, 0.0000, 160, 158, 150
L -3750.74, 4952.07, 0.0000, 3851.67, 4952.07, 0.0000, 160, 158, 150
L -3750.74, -4556.69, 0.0000, -3750.74, 4952.07, 0.0000, 160, 158, 150
L 3851.67, -4556.69, 0.0000, 3851.67, 4952.07, 0.0000, 160, 158, 150
L -5176.74, -5982.69, 0.0000, -4595.94, -5818.99, 0.0000, 96, 88, 76
L -4595.94, -5818.99, 0.0000, -4015.14, -5982.69, 0.0000, 96, 88, 76
L -4015.14, -5982.69, 0.0000, -3434.34, -5907.34, 0.0000, 96, 88, 76
L -3434.34, -5907.34, 0.0000, -2853.54, -5982.69, 0.0000, 96, 88, 76
L -2853.54, -5982.69, 0.0000, -2272.74, -5800.21, 0.0000, 96, 88, 76
L 2373.67, -5897.21, 0.0000, 2954.47, -5982.69, 0.0000, 96, 88, 76
L 2954.47, -5982.69, 0.0000, 3535.27, -5871.27, 0.0000, 96, 88, 76
L 3535.27, -5871.27, 0.0000, 4116.07, -5982.69, 0.0000, 96, 88, 76
L 4116.07, -5982.69, 0.0000, 4696.87, -5832.94, 0.0000, 96, 88, 76
L 4696.87, -5832.94, 0.0000, 5277.67, -5982.69, 0.0000, 96, 88, 76
L 5277.67, -5982.69, 0.0000, 5112.81, -5394.08, 0.0000, 96, 88, 76
L 5112.81, -5394.08, 0.0000, 5277.67, -4805.48, 0.0000, 96, 88, 76
L 5277.67, -4805.48, 0.0000, 5175.12, -4216.87, 0.0000, 96, 88, 76
L 5175.12, -4216.87, 0.0000, 5277.67, -3628.26, 0.0000, 96, 88, 76
L 5277.67, -3628.26, 0.0000, 5134.82, -3039.65, 0.0000, 96, 88, 76
L 5134.82, -3039.65, 0.0000, 5277.67, -2451.04, 0.0000, 96, 88, 76
L 5277.67, -2451.04, 0.0000, 5152.63, -1862.44, 0.0000, 96, 88, 76
L 5152.63, -1862.44, 0.0000, 5277.67, -1273.83, 0.0000, 96, 88, 76
L 5277.67, -1273.83, 0.0000, 5178.49, -685.22, 0.0000, 96, 88, 76
L 5178.49, -685.22, 0.0000, 5277.67, -96.61, 0.0000, 96, 88, 76
L 5277.67, -96.61, 0.0000, 5173.18, 492.00, 0.0000, 96, 88, 76
L 5173.18, 492.00, 0.0000, 5277.67, 1080.60, 0.0000, 96, 88, 76
L 5277.67, 1080.60, 0.0000, 5170.01, 1669.21, 0.0000, 96, 88, 76
L 5170.01, 1669.21, 0.0000, 5277.67, 2257.82, 0.0000, 96, 88, 76
L 5277.67, 2257.82, 0.0000, 5182.74, 2846.43, 0.0000, 96, 88, 76
L 5182.74, 2846.43, 0.0000, 5277.67, 3435.03, 0.0000, 96, 88, 76
L 5277.67, 3435.03, 0.0000, 5188.35, 4023.64, 0.0000, 96, 88, 76
L 5188.35, 4023.64, 0.0000, 5277.67, 4612.25, 0.0000, 96, 88, 76
L 5277.67, 4612.25, 0.0000, 5130.55, 5200.86, 0.0000, 96, 88, 76
L 5130.55, 5200.86, 0.0000, 5277.67, 5789.47, 0.0000, 96, 88, 76
L 5277.67, 5789.47, 0.0000, 5209.67, 6378.07, 0.0000, 96, 88, 76
L 5277.67, 6378.07, 0.0000, 4696.87, 6303.35, 0.0000, 96, 88, 76
L 4696.87, 6303.35, 0.0000, 4116.07, 6378.07, 0.0000, 96, 88, 76
L 4116.07, 6378.07, 0.0000, 3535.27, 6244.69, 0.0000, 96, 88, 76
L 3535.27, 6244.69, 0.0000, 2954.47, 6378.07, 0.0000, 96, 88, 76
L 2954.47, 6378.07, 0.0000, 2373.67, 6292.82, 0.0000, 96, 88, 76
L 2373.67, 6292.82, 0.0000, 1792.87, 6378.07, 0.0000, 96, 88, 76
L 1792.87, 6378.07, 0.0000, 1212.07, 6306.42, 0.0000, 96, 88, 76
L 1212.07, 6306.42, 0.0000, 631.26, 6378.07, 0.0000, 96, 88, 76
L 631.26, 6378.07, 0.0000, 50.46, 6258.14, 0.0000, 96, 88, 76
L 50.46, 6258.14, 0.0000, -530.34, 6378.07, 0.0000, 96, 88, 76
L -530.34, 6378.07, 0.0000, -1111.14, 6210.54, 0.0000, 96, 88, 76
L -1111.14, 6210.54, 0.0000, -1691.94, 6378.07, 0.0000, 96, 88, 76
L -1691.94, 6378.07, 0.0000, -2272.74, 6227.52, 0.0000, 96, 88, 76
L -2272.74, 6227.52, 0.0000, -2853.54, 6378.07, 0.0000, 96, 88, 76
L -2853.54, 6378.07, 0.0000, -3434.34, 6190.56, 0.0000, 96, 88, 76
L -3434.34, 6190.56, 0.0000, -4015.14, 6378.07, 0.0000, 96, 88, 76
L -4015.14, 6378.07, 0.0000, -4595.94, 6229.56, 0.0000, 96, 88, 76
L -4595.94, 6229.56, 0.0000, -5176.74, 6378.07, 0.0000, 96, 88, 76
L -5176.74, 6378.07, 0.0000, -5087.06, 5789.47, 0.0000, 96, 88, 76
L -5087.06, 5789.47, 0.0000, -5176.74, 5200.86, 0.0000, 96, 88, 76
