P -2577.5000, -2949.9767, 0.0000,  60, 45, 30,  3,  N
P -2577.5000, -2588.4409, 0.0000,  60, 45, 30,  3,  S
P -2399.3145, -2771.7912, 0.0000,  60, 45, 30,  3,  E
P -2755.6855, -2771.7912, 0.0000,  60, 45, 30,  3,  W
L -2712.0000, -2573.0000, 0.0000,  -2621.7207, -2605.0000, 0.0000,  150, 60, 25
L -2621.7207, -2605.0000, 0.0000,  -2531.4419, -2573.0000, 0.0000,  45, 95, 55
L -2531.4419, -2573.0000, 0.0000,  -2441.1626, -2605.0000, 0.0000,  150, 60, 25
L -2441.1626, -2605.0000, 0.0000,  -2350.8835, -2573.0000, 0.0000,  45, 95, 55
L -2350.8835, -2573.0000, 0.0000,  -2260.6045, -2605.0000, 0.0000,  150, 60, 25
L -2260.6045, -2605.0000, 0.0000,  -2170.3254, -2573.0000, 0.0000,  45, 95, 55
L -2170.3254, -2573.0000, 0.0000,  -2080.0464, -2605.0000, 0.0000,  150, 60, 25
L -2080.0464, -2605.0000, 0.0000,  -1989.7673, -2573.0000, 0.0000,  45, 95, 55
L -1989.7673, -2573.0000, 0.0000,  -1899.4883, -2605.0000, 0.0000,  150, 60, 25
L -1899.4883, -2605.0000, 0.0000,  -1809.2092, -2573.0000, 0.0000,  45, 95, 55
L -1809.2092, -2573.0000, 0.0000,  -1718.9302, -2605.0000, 0.0000,  150, 60, 25
L -1718.9302, -2605.0000, 0.0000,  -1628.6511, -2573.0000, 0.0000,  45, 95, 55
L -1628.6511, -2573.0000, 0.0000,  -1538.3721, -2605.0000, 0.0000,  150, 60, 25
L -1538.3721, -2605.0000, 0.0000,  -1448.0929, -2573.0000, 0.0000,  45, 95, 55
L -1448.0929, -2573.0000, 0.0000,  -1357.8140, -2605.0000, 0.0000,  150, 60, 25
L -1357.8140, -2605.0000, 0.0000,  -1267.5348, -2573.0000, 0.0000,  45, 95, 55
L -1267.5348, -2573.0000, 0.0000,  -1177.2557, -2605.0000, 0.0000,  150, 60, 25
