L -243.9062, -711.7188, -94.9688, -247.9062, -703.7188, -91.9688, 84, 72, 54
L 537.7812, -347.8750, -61.9688, 537.7812, -347.8750, -45.9688, 156, 136, 105
L 533.7812, -347.8750, -45.9688, 533.7812, -345.8750, -80.9688, 134, 117, 90
L -203.9062, -307.8750, -67.9688, -203.9062, -307.8750, -62.9688, 134, 117, 90
L 971.6250, -549.7812, -81.9688, 971.6250, -547.7812, -71.9688, 110, 96, 74
L 675.7188, -215.9062, -93.9688, 675.7188, -217.9062, -92.9688, 84, 72, 54
L 497.8125, -808.6875, -74.7188, 497.8125, -808.6875, -80.9688, 110, 96, 74
L 703.7188, -195.9062, -80.9688, 703.7188, -199.9062, -84.9688, 110, 96, 74
L -347.8750, -259.9062, -62.9688, -347.8750, -259.9062, -80.9688, 134, 117, 90
L -595.7500, 131.9375, -91.9688, -595.7500, 135.9375, -89.9688, 84, 72, 54
L 879.6562, -275.8750, -104.9688, 879.6562, -275.8750, -74.9688, 84, 72, 54
L 865.6562, -627.7500, -70.9688, 877.6562, -627.7500, -44.9688, 156, 136, 105
L 335.8750, -379.8438, -60.9688, 335.8750, -387.8438, -60.9688, 156, 136, 105
L 999.5938, -287.8750, -78.9688, 1027.5938, -287.8750, -79.9688, 110, 96, 74
L -863.6562, 47.9688, -110.9688, -863.6562, 47.9688, -69.9688, 84, 72, 54
L 519.7812, -521.7812, -81.9688, 519.7812, -525.7812, -80.9688, 110, 96, 74
L 319.8750, -379.8438, -52.9688, 315.8750, -379.8438, -50.9688, 156, 136, 105
L 1005.5938, -775.6875, -51.9688, 1061.5625, -775.6875, -54.9688, 156, 136, 105
L 513.7812, -345.8750, -80.9688, 511.7812, -345.8750, -80.9688, 110, 96, 74
L 691.7188, -287.8750, -91.9688, 703.7188, -287.8750, -91.9688, 84, 72, 54
L -291.8750, -63.9688, -80.9688, -289.8750, -63.9688, -80.9688, 110, 96, 74
L 591.7500, -599.7500, -80.9688, 547.7812, -599.7500, -79.9688, 110, 96, 74
L 189.9375, -371.8438, -44.9688, 195.9062, -371.8438, -44.9688, 156, 136, 105
L 239.9062, -363.8438, -70.9688, 233.9062, -363.8438, -62.9688, 134, 117, 90
L 799.6875, -583.7812, -44.9688, 799.6875, -583.7812, -70.9688, 156, 136, 105
L -14.0000, 14.0000, 41.9688, -14.0000, -14.0000, 41.9688, 156, 136, 105
L 1003.5938, -677.7188, -24.0000, 1003.5938, -679.7188, -40.9688, 156, 136, 105
L 263.9062, -607.7500, -61.9688, 264.9062, -611.7500, -57.9688, 156, 136, 105
L 862.3125, -281.2188, -96.2812, 862.3125, -281.2188, -74.9688, 84, 72, 54
L -351.8438, -575.7812, -113.9688, -351.8438, -575.7812, -74.9688, 84, 72, 54
L 165.9375, -347.8750, -53.9688, 169.9375, -351.8438, -68.9688, 156, 136, 105
L -811.6875, 179.9375, -69.9688, -803.6875, 183.9375, -69.9688, 134, 117, 90
L -4.0000, -269.9062, -98.9688, -4.0000, -273.8750, -96.9688, 84, 72, 54
L -611.7500, 24.0000, -60.9688, -611.7500, 24.0000, -51.9688, 156, 136, 105
L 555.7812, -439.8125, -79.9688, 555.7812, -435.8125, -80.9688, 110, 96, 74
L -39.9688, -711.7188, -61.9688, -39.9688, -711.7188, -72.9688, 134, 117, 90
L 851.6562, -463.8125, -80.9688, 851.6562, -459.8125, -54.9688, 134, 117, 90
L 843.6562, -203.9062, -88.9688, 843.6562, -203.9062, -96.9688, 84, 72, 54
L 511.7812, -411.8438, -80.9688, 511.7812, -399.8438, -80.9688, 110, 96, 74
L -963.6250, 151.9375, -110.9688, -963.6250, 151.9375, -91.9688, 84, 72, 54
L -299.8750, -80.4688, -80.9688, -299.8750, -83.9688, -81.9688, 110, 96, 74
L 1000.5938, -320.8750, -79.9688, 1027.5938, -320.8750, -79.9688, 110, 96, 74
L 538.7812, -540.7812, -101.9688, 538.7812, -540.7812, -99.9688, 84, 72, 54
L -281.8750, -69.9688, -61.9688, -280.8750, -73.9688, -61.9688, 156, 136, 105
L 668.7188, -191.9375, -100.9688, 672.7188, -195.9062, -100.9688, 84, 72, 54
L -55.9688, -567.7812, -61.9688, -55.9688, -567.7812, -90.9688, 110, 96, 74
L 895.6562, -577.7812, -73.9688, 893.6562, -577.7812, -73.9688, 110, 96, 74
L 513.7812, -539.7812, -69.9688, 513.7812, -539.7812, -60.9688, 134, 117, 90
L 231.9062, -339.8750, -46.9688, 231.9062, -331.8750, -46.9688, 156, 136, 105
L 207.9062, -639.7500, -61.9688, 207.9062, -659.7500, -61.9688, 156, 136, 105
L -1159.5312, 75.9688, -91.9688, -1159.5312, 75.9688, -110.9688, 84, 72, 54
L 524.7812, -540.7812, -99.9688, 524.7812, -540.7812, -80.9688, 84, 72, 54
L -235.9062, -519.7812, -94.9688, -235.9062, -519.7812, -111.9688, 84, 72, 54
L -131.9375, -399.8438, -111.9688, -131.9375, -415.8438, -94.9688, 84, 72, 54
L 529.7812, -539.7812, -61.9688, 529.7812, -539.7812, -80.9688, 134, 117, 90
L -152.9375, -301.8750, -71.9688, -152.9375, -301.8750, -66.9688, 134, 117, 90
L 47.9688, -787.6875, -72.9688, 103.9688, -787.6875, -72.9688, 134, 117, 90
L 846.6562, -727.7188, -31.2812, 839.6562, -727.7188, -17.0000, 156, 136, 105
L 759.6875, -808.6875, -56.9688, 759.6875, -808.6875, -39.0000, 156, 136, 105
L 239.9062, -307.8750, -71.9688, 233.9062, -307.8750, -62.9688, 134, 117, 90
L -736.7188, 63.9688, -69.9688, -743.6875, 59.9688, -69.9688, 134, 117, 90
L 497.8125, -755.6875, -76.9688, 497.8125, -755.6875, -80.9688, 110, 96, 74
L -73.9688, -317.8750, -83.9688, -73.9688, -317.8750, -98.9688, 84, 72, 54
L 860.6562, -706.7188, -23.8750, 860.6562, -720.7188, -23.8750, 156, 136, 105
L 1028.5938, -298.8750, -92.9688, 1028.5938, -298.8750, -80.9688, 84, 72, 54
